Timestep;Price;HV_LOAD;beta_co;beta_gc;Input_D_LV_MED;Input_D_MV_LOAD;Input_D_LV_HIGH;Input_D_LV_LOW;Total_Input_Demand;lambda_EOM_cap_LV_MED;E_EOM_LV_MED;lambda_EOM_0_LV_MED;D_EOM_cap_LV_MED;lambda_EOM_cap_MV_LOAD;E_EOM_MV_LOAD;lambda_EOM_0_MV_LOAD;D_EOM_cap_MV_LOAD;lambda_EOM_cap_LV_HIGH;E_EOM_LV_HIGH;lambda_EOM_0_LV_HIGH;D_EOM_cap_LV_HIGH;lambda_EOM_cap_LV_LOW;E_EOM_LV_LOW;lambda_EOM_0_LV_LOW;D_EOM_cap_LV_LOW;G_WindOnshore;G_Baseload;G_MidMerit;G_Peak;C_MidMerit;C_Baseload;C_Peak;C_WindOnshore;G_LV_MED;G_MV_LOAD;G_LV_HIGH;G_LV_LOW;ENS_LV_MED;ENS_MV_LOAD;ENS_LV_HIGH;ENS_LV_LOW;D_LV_MED;D_MV_LOAD;D_LV_HIGH;D_LV_LOW;D_elastic_LV_MED;D_elastic_MV_LOAD;D_elastic_LV_HIGH;D_elastic_LV_LOW;ENS_involuntary_LV_MED;ENS_involuntary_MV_LOAD;ENS_involuntary_LV_HIGH;ENS_involuntary_LV_LOW;PV_LV_MED;PV_MV_LOAD;PV_LV_HIGH;PV_LV_LOW;PV_Total;Total_ENS;Consumer_Demand;Total_Demand;λ_cCM;C_system_total;C_cCM_vol;C_cCM_MidMerit;C_cCM_Baseload;C_cCM_Peak;C_cCM_WindOnshore
236.0;0.15374;1.06378;0.2;0.2;3.42;3.97;3.48;0.87;11.74;2.0;-2.19284;7.62464;2.565;1.0;-0.89534;3.66587;2.9775;1.2;-1.24238;4.44261;2.61;2.5;-10.85509;9.58294;0.6525;0.94499;5.01514;4.31234;1.9237;4.31239;5.01519;2.63526;4.5;-3.18195;-3.69769;-3.45214;-0.80114;0.0;0.0;0.0;0.0;3.40695;3.92269;3.45214;0.86864;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.225;0.225;0.0;0.0675;0.5175;0.0;11.65042;12.7142;0.00277;16.46284;11.96284;4.31239;5.01519;2.63526;0.0
237.0;0.15104;1.02318;0.2;0.2;2.79;3.71;2.46;0.9;9.86;2.0;-2.688;7.62464;2.0925;1.0;-0.95808;3.66587;2.7825;1.2;-1.75751;4.44261;1.845;2.5;-10.49325;9.58294;0.675;0.89999;5.01514;4.31234;0.55047;4.31239;5.01519;2.63526;4.5;-2.76536;-3.65361;-2.44185;-0.89435;0.0;0.0;0.0;0.0;2.78036;3.66861;2.44185;0.89885;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.015;0.015;0.0;0.0045;0.0345;0.0;9.78967;10.81285;0.00277;16.46284;11.96284;4.31239;5.01519;2.63526;0.0
238.0;0.10656;1.04042;0.2;0.2;2.64;4.07;1.44;0.33;8.48;2.0;-2.84073;7.62464;1.98;1.0;-0.87334;3.66587;3.0525;1.2;-3.00242;4.44261;1.08;2.5;-28.61795;9.58294;0.2475;0.85499;5.01502;3.66698;1.0e-5;4.31239;5.01519;2.63526;4.5;-2.64653;-4.07552;-1.44419;-0.33113;0.0;0.0;0.0;0.0;2.64653;4.07552;1.44419;0.33113;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.49737;9.5378;0.00277;16.46284;11.96284;4.31239;5.01519;2.63526;0.0
239.0;0.10312;1.01008;0.2;0.2;1.77;4.01;0.81;0.15;6.74;2.0;-4.23702;7.62464;1.3275;1.0;-0.88641;3.66587;3.0075;1.2;-5.33763;4.44261;0.6075;2.5;-62.95949;9.58294;0.1125;0.80999;5.01499;1.9424;1.0e-5;4.31239;5.01519;2.63526;4.5;-1.77519;-4.01932;-0.813;-0.15057;0.0;0.0;0.0;0.0;1.77519;4.01932;0.813;0.15057;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.75808;7.76816;0.00277;16.46284;11.96284;4.31239;5.01519;2.63526;0.0
240.0;0.10112;0.97677;0.2;0.2;1.59;3.41;0.57;0.12;5.69;2.0;-4.71668;7.62464;1.1925;1.0;-1.04237;3.66587;2.5575;1.2;-7.58506;4.44261;0.4275;2.5;-78.69937;9.58294;0.09;0.76499;5.01496;0.90413;1.0e-5;4.31239;5.01519;2.63526;4.5;-1.59509;-3.41984;-0.57237;-0.12048;0.0;0.0;0.0;0.0;1.59509;3.41984;0.57237;0.12048;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.70779;6.68456;0.00277;16.46284;11.96284;4.31239;5.01519;2.63526;0.0
241.0;0.10049;0.95023;0.2;0.2;1.29;3.9;0.15;0.12;5.46;2.0;-5.81358;7.62464;0.9675;1.0;-0.91141;3.66587;2.925;1.2;-28.82321;4.44261;0.1125;2.5;-78.69937;9.58294;0.09;0.98999;5.01495;0.42256;1.0e-5;4.31239;5.01519;2.63526;4.5;-1.29424;-3.91195;-0.15065;-0.12049;0.0;0.0;0.0;0.0;1.29424;3.91195;0.15065;0.12049;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.47732;6.42755;0.00277;16.46284;11.96284;4.31239;5.01519;2.63526;0.0
242.0;0.08481;0.95197;0.2;0.2;0.27;3.41;0.15;0.06;3.89;2.0;-27.776;7.62464;0.2025;1.0;-1.04237;3.66587;2.5575;1.2;-28.82321;4.44261;0.1125;2.5;-157.39874;9.58294;0.045;0.94499;3.9253;0.00013;1.0e-5;4.31239;5.01519;2.63526;4.5;-0.27145;-3.43549;-0.15119;-0.06034;0.0;0.0;0.0;0.0;0.27145;3.43549;0.15119;0.06034;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.91847;4.87044;0.00277;16.46284;11.96284;4.31239;5.01519;2.63526;0.0
243.0;0.08372;0.95402;0.2;0.2;0.24;2.93;0.15;0.09;3.41;2.0;-31.248;7.62464;0.18;1.0;-1.21314;3.66587;2.1975;1.2;-28.82321;4.44261;0.1125;2.5;-104.93249;9.58294;0.0675;0.89999;3.48977;0.00012;1.0e-5;4.31239;5.01519;2.63526;4.5;-0.24132;-2.9528;-0.15123;-0.09053;0.0;0.0;0.0;0.0;0.24132;2.9528;0.15123;0.09053;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.43588;4.3899;0.00277;16.46284;11.96284;4.31239;5.01519;2.63526;0.0
244.0;0.08361;0.96308;0.2;0.2;0.21;2.86;0.15;0.09;3.31;2.0;-35.712;7.62464;0.1575;1.0;-1.24283;3.66587;2.145;1.2;-28.82321;4.44261;0.1125;2.5;-104.93249;9.58294;0.0675;0.85499;3.44322;0.00012;1.0e-5;4.31239;5.01519;2.63526;4.5;-0.21116;-2.88234;-0.15123;-0.09053;0.0;0.0;0.0;0.0;0.21116;2.88234;0.15123;0.09053;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.33527;4.29835;0.00277;16.46284;11.96284;4.31239;5.01519;2.63526;0.0
245.0;0.1;0.98813;0.2;0.2;0.15;4.35;0.33;0.09;4.92;2.0;-49.99681;7.62464;0.1125;1.0;-0.81712;3.66587;3.2625;1.2;-13.10146;4.44261;0.2475;2.5;-104.93249;9.58294;0.0675;0.89999;5.01515;0.00982;1.0e-5;4.31239;5.01519;2.63526;4.5;-0.1505;-4.36392;-0.33146;-0.09037;0.0;0.0;0.0;0.0;0.1505;4.36392;0.33146;0.09037;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.93626;5.92439;0.00277;16.46284;11.96284;4.31239;5.01519;2.63526;0.0
