Timestep;Price;HV_LOAD;beta_co;beta_gc;Input_D_LV_MED;Input_D_MV_LOAD;Input_D_LV_HIGH;Input_D_LV_LOW;Total_Input_Demand;lambda_EOM_cap_LV_MED;E_EOM_LV_MED;lambda_EOM_0_LV_MED;D_EOM_cap_LV_MED;lambda_EOM_cap_MV_LOAD;E_EOM_MV_LOAD;lambda_EOM_0_MV_LOAD;D_EOM_cap_MV_LOAD;lambda_EOM_cap_LV_HIGH;E_EOM_LV_HIGH;lambda_EOM_0_LV_HIGH;D_EOM_cap_LV_HIGH;lambda_EOM_cap_LV_LOW;E_EOM_LV_LOW;lambda_EOM_0_LV_LOW;D_EOM_cap_LV_LOW;G_WindOnshore;G_Baseload;G_MidMerit;G_Peak;C_MidMerit;C_Baseload;C_Peak;C_WindOnshore;G_LV_MED;G_MV_LOAD;G_LV_HIGH;G_LV_LOW;ENS_LV_MED;ENS_MV_LOAD;ENS_LV_HIGH;ENS_LV_LOW;D_LV_MED;D_MV_LOAD;D_LV_HIGH;D_LV_LOW;D_elastic_LV_MED;D_elastic_MV_LOAD;D_elastic_LV_HIGH;D_elastic_LV_LOW;ENS_involuntary_LV_MED;ENS_involuntary_MV_LOAD;ENS_involuntary_LV_HIGH;ENS_involuntary_LV_LOW;PV_LV_MED;PV_MV_LOAD;PV_LV_HIGH;PV_LV_LOW;PV_Total;Total_ENS;Consumer_Demand;Total_Demand
11.0;0.15369;1.47439;0.7;0.7;1.5;4.75;3.66;0.198;10.108;2.0;-4.99968;7.62464;1.125;1.0;-0.74831;3.66587;3.5625;1.2;-1.18128;4.44261;2.745;2.5;-47.69659;9.58294;0.1485;0.153;5.99798;3.49496;1.74103;3.49497;5.99799;1.9783;4.5;-1.44929;-4.64846;-3.63074;-0.18419;0.0;0.0;0.0;0.0;1.49429;4.69346;3.63074;0.19769;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.045;0.045;0.0;0.0135;0.1035;0.0;10.01618;11.49057
12.0;0.19528;1.61717;0.7;0.7;1.26;4.95;3.99;0.231;10.431;2.0;-5.952;7.62464;0.945;1.0;-0.71808;3.66587;3.7125;1.2;-1.08358;4.44261;2.9925;2.5;-40.88279;9.58294;0.17325;0.135;5.99798;3.49496;1.9783;3.49497;5.99799;1.9783;4.5;-1.14321;-4.72815;-3.91972;-0.19812;0.0;0.0;0.0;0.0;1.24821;4.83315;3.91972;0.22962;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.105;0.105;0.0;0.0315;0.2415;0.0;10.23071;11.84788
13.0;0.31777;1.33986;0.7;0.7;1.5;5.35;3.99;0.264;11.104;2.0;-4.99968;7.62464;1.125;1.0;-0.66439;3.66587;4.0125;1.2;-1.08358;4.44261;2.9925;2.5;-35.77244;9.58294;0.198;0.09;5.99798;3.49496;1.9783;3.49497;5.99799;1.9783;4.5;-1.31147;-4.88935;-3.80668;-0.214;0.0;0.0;0.0;0.0;1.46147;5.03935;3.80668;0.259;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.15;0.15;0.0;0.045;0.345;0.0;10.5665;11.90637
14.0;0.28859;1.43779;0.7;0.7;1.86;5.055;3.69;0.33;10.935;2.0;-4.032;7.62464;1.395;1.0;-0.70316;3.66587;3.79125;1.2;-1.17168;4.44261;2.7675;2.5;-28.61795;9.58294;0.2475;0.045;5.99798;3.49496;1.9783;3.49497;5.99799;1.9783;4.5;-1.63946;-4.62299;-3.54537;-0.27077;0.0;0.0;0.0;0.0;1.81946;4.80299;3.54537;0.32477;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.18;0.18;0.0;0.054;0.414;0.0;10.49259;11.93039
15.0;0.15276;1.2599;0.7;0.7;1.5;4.95;3.36;0.198;10.008;2.0;-4.99968;7.62464;1.125;1.0;-0.71808;3.66587;3.7125;1.2;-1.28675;4.44261;2.52;2.5;-47.69659;9.58294;0.1485;0.0675;5.99798;3.49496;1.2728;3.49497;5.99799;1.9783;4.5;-1.34447;-4.74237;-3.33386;-0.15271;0.0;0.0;0.0;0.0;1.49447;4.89237;3.33386;0.19771;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.15;0.15;0.0;0.045;0.345;0.0;9.91842;11.17832
16.0;0.24746;1.23028;0.7;0.7;1.26;4.95;4.5;0.198;10.908;2.0;-5.952;7.62464;0.945;1.0;-0.71808;3.66587;3.7125;1.2;-0.96077;4.44261;3.375;2.5;-47.69659;9.58294;0.1485;0.045;5.99798;3.49496;1.9783;3.49497;5.99799;1.9783;4.5;-1.11945;-4.64049;-4.36643;-0.15973;0.0;0.0;0.0;0.0;1.23945;4.76049;4.36643;0.19573;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.12;0.12;0.0;0.036;0.276;0.0;10.56209;11.79237
17.0;0.44706;1.27699;0.7;0.7;3.0;4.95;2.85;0.51;11.31;2.0;-2.49984;7.62464;2.25;1.0;-0.71808;3.66587;3.7125;1.2;-1.51701;4.44261;2.1375;2.5;-18.5175;9.58294;0.3825;0.045;5.99797;3.49496;1.9783;3.49497;5.99799;1.9783;4.5;-2.76621;-4.37752;-2.63383;-0.46186;0.0;0.0;0.0;0.0;2.87121;4.48252;2.63383;0.49336;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.105;0.105;0.0;0.0315;0.2415;0.0;10.48093;11.75792
18.0;1.0;1.52749;0.7;0.7;3.6;4.75;2.31;1.98;12.64;2.0;-2.0832;7.62464;2.7;1.0;-0.74831;3.66587;3.5625;1.2;-1.87164;4.44261;1.7325;2.5;-4.76966;9.58294;1.485;0.135;5.99799;3.49496;1.9783;3.49497;5.99799;1.9783;4.5;-3.10503;-3.35745;-1.83936;-1.77699;0.0;0.13006;0.0;0.0;3.18003;3.43245;1.83936;1.79949;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.075;0.075;0.0;0.0225;0.1725;0.13006;10.25133;11.77882
19.0;0.82023;1.58603;0.7;0.7;2.58;4.955;2.97;1.368;11.873;2.0;-2.90679;7.62464;1.935;1.0;-0.71735;3.66587;3.71625;1.2;-1.45572;4.44261;2.2275;2.5;-6.90345;9.58294;1.026;0.18;5.99799;3.49496;1.9783;3.49497;5.99799;1.9783;4.5;-2.34087;-3.96685;-2.48838;-1.26932;0.0;0.0;0.0;0.0;2.34087;3.96685;2.48838;1.26932;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.06542;11.65145
20.0;0.6566;1.34556;0.7;0.7;3.3;4.055;3.33;0.99;11.675;2.0;-2.27258;7.62464;2.475;1.0;-0.87657;3.66587;3.04125;1.2;-1.29834;4.44261;2.4975;2.5;-9.53932;9.58294;0.7425;0.225;5.99798;3.49496;1.9783;3.49497;5.99799;1.9783;4.5;-3.06613;-3.43301;-2.91603;-0.93574;0.0;0.0;0.0;0.0;3.06613;3.43301;2.91603;0.93574;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.35092;11.69647
