Timestep;Price;HV_LOAD;beta_co;beta_gc;Input_D_LV_MED;Input_D_MV_LOAD;Input_D_LV_HIGH;Input_D_LV_LOW;Total_Input_Demand;lambda_EOM_cap_LV_MED;E_EOM_LV_MED;lambda_EOM_0_LV_MED;D_EOM_cap_LV_MED;lambda_EOM_cap_MV_LOAD;E_EOM_MV_LOAD;lambda_EOM_0_MV_LOAD;D_EOM_cap_MV_LOAD;lambda_EOM_cap_LV_HIGH;E_EOM_LV_HIGH;lambda_EOM_0_LV_HIGH;D_EOM_cap_LV_HIGH;lambda_EOM_cap_LV_LOW;E_EOM_LV_LOW;lambda_EOM_0_LV_LOW;D_EOM_cap_LV_LOW;G_WindOnshore;G_Baseload;G_MidMerit;G_Peak;C_MidMerit;C_Baseload;C_Peak;C_WindOnshore;G_LV_MED;G_MV_LOAD;G_LV_HIGH;G_LV_LOW;ENS_LV_MED;ENS_MV_LOAD;ENS_LV_HIGH;ENS_LV_LOW;D_LV_MED;D_MV_LOAD;D_LV_HIGH;D_LV_LOW;D_elastic_LV_MED;D_elastic_MV_LOAD;D_elastic_LV_HIGH;D_elastic_LV_LOW;ENS_involuntary_LV_MED;ENS_involuntary_MV_LOAD;ENS_involuntary_LV_HIGH;ENS_involuntary_LV_LOW;PV_LV_MED;PV_MV_LOAD;PV_LV_HIGH;PV_LV_LOW;PV_Total;Total_ENS;Consumer_Demand;Total_Demand;λ_cCM;C_system_total;C_cCM_vol;C_cCM_MidMerit;C_cCM_Baseload;C_cCM_Peak;C_cCM_WindOnshore
1.0;0.10099;1.40287;0.4;0.4;1.32;3.66;0.165;0.12;5.265;2.0;-5.68146;7.62464;0.99;1.0;-0.97117;3.66587;2.745;1.2;-26.20292;4.44261;0.12375;2.5;-78.69937;9.58294;0.09;0.315;5.62655;0.74254;1.0e-5;3.82455;5.62661;2.51176;4.5;-1.32425;-3.6707;-0.16569;-0.12048;0.0;0.0;0.0;0.0;1.32425;3.6707;0.16569;0.12048;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.28112;6.68399;0.00276;16.46292;11.96291;3.82454;5.62661;2.51176;0.0
2.0;0.0872;1.40281;0.4;0.4;0.285;3.155;0.165;0.075;3.68;2.0;-26.31411;7.62464;0.21375;1.0;-1.12662;3.66587;2.36625;1.2;-26.20292;4.44261;0.12375;2.5;-125.91899;9.58294;0.05625;0.225;4.88213;0.00024;1.0e-5;3.82455;5.62661;2.51176;4.5;-0.28644;-3.17646;-0.16622;-0.07541;0.0;0.0;0.0;0.0;0.28644;3.17646;0.16622;0.07541;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.70453;5.10734;0.00276;16.46292;11.96291;3.82454;5.62661;2.51176;0.0
3.0;0.08725;1.37684;0.4;0.4;0.255;3.155;0.165;0.105;3.68;2.0;-29.40989;7.62464;0.19125;1.0;-1.12662;3.66587;2.36625;1.2;-26.20292;4.44261;0.12375;2.5;-89.94214;9.58294;0.07875;0.18;4.90112;0.00025;1.0e-5;3.82455;5.62661;2.51176;4.5;-0.25629;-3.17641;-0.16622;-0.10558;0.0;0.0;0.0;0.0;0.25629;3.17641;0.16622;0.10558;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.70449;5.08133;0.00276;16.46292;11.96291;3.82454;5.62661;2.51176;0.0
4.0;0.08724;1.35769;0.4;0.4;0.225;3.155;0.165;0.105;3.65;2.0;-33.3312;7.62464;0.16875;1.0;-1.12662;3.66587;2.36625;1.2;-26.20292;4.44261;0.12375;2.5;-89.94214;9.58294;0.07875;0.135;4.89683;0.00024;1.0e-5;3.82455;5.62661;2.51176;4.5;-0.22614;-3.17642;-0.16622;-0.10558;0.0;0.0;0.0;0.0;0.22614;3.17642;0.16622;0.10558;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.67435;5.03204;0.00276;16.46292;11.96291;3.82454;5.62661;2.51176;0.0
5.0;0.09993;1.2612;0.4;0.4;0.165;4.055;0.33;0.105;4.655;2.0;-45.45164;7.62464;0.12375;1.0;-0.87657;3.66587;3.04125;1.2;-13.10146;4.44261;0.2475;2.5;-89.94214;9.58294;0.07875;0.09;5.62653;0.21522;1.0e-5;3.82455;5.62661;2.51176;4.5;-0.16555;-4.06806;-0.33147;-0.10543;0.0;0.0;0.0;0.0;0.16555;4.06806;0.33147;0.10543;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.67052;5.93171;0.00276;16.46292;11.96291;3.82454;5.62661;2.51176;0.0
6.0;0.10187;1.42198;0.4;0.4;0.165;4.55;0.63;0.165;5.51;2.0;-45.45164;7.62464;0.12375;1.0;-0.78121;3.66587;3.4125;1.2;-6.86267;4.44261;0.4725;2.5;-57.2359;9.58294;0.12375;0.135;5.62655;1.18637;1.0e-5;3.82455;5.62661;2.51176;4.5;-0.16551;-4.56217;-0.63251;-0.16565;0.0;0.0;0.0;0.0;0.16551;4.56217;0.63251;0.16565;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.52584;6.94782;0.00276;16.46292;11.96291;3.82454;5.62661;2.51176;0.0
7.0;0.10424;1.59712;0.4;0.4;0.33;4.955;1.53;0.435;7.25;2.0;-22.72582;7.62464;0.2475;1.0;-0.71735;3.66587;3.71625;1.2;-2.8258;4.44261;1.1475;2.5;-21.71017;9.58294;0.32625;0.135;5.62633;3.10303;2.0e-5;3.82455;5.62661;2.51176;4.5;-0.33092;-4.96495;-1.53527;-0.4366;0.0;0.0;0.0;0.0;0.33092;4.96495;1.53527;0.4366;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.26774;8.86486;0.00276;16.46292;11.96291;3.82454;5.62661;2.51176;0.0
8.0;0.15148;1.34493;0.4;0.4;0.66;4.95;2.43;0.99;9.03;2.0;-11.36291;7.62464;0.495;1.0;-0.71808;3.66587;3.7125;1.2;-1.77921;4.44261;1.8225;2.5;-9.53932;9.58294;0.7425;0.0585;5.62658;3.82447;0.7874;3.82455;5.62661;2.51176;4.5;-0.65768;-4.89415;-2.41182;-0.98869;0.0;0.0;0.0;0.0;0.65768;4.89415;2.41182;0.98869;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.95234;10.29727;0.00276;16.46292;11.96291;3.82454;5.62661;2.51176;0.0
9.0;0.15263;1.34381;0.4;0.4;0.9;5.25;3.0;0.576;9.726;2.0;-8.3328;7.62464;0.675;1.0;-0.67705;3.66587;3.9375;1.2;-1.44116;4.44261;2.25;2.5;-16.3957;9.58294;0.432;0.135;5.62658;3.82447;1.36063;3.82455;5.62661;2.51176;4.5;-0.8817;-5.17408;-2.97676;-0.57067;0.0;0.0;0.0;0.0;0.8967;5.18908;2.97676;0.57517;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.015;0.015;0.0;0.0045;0.0345;0.0;9.6377;10.98152;0.00276;16.46292;11.96291;3.82454;5.62661;2.51176;0.0
10.0;0.15306;1.22693;0.4;0.4;1.26;5.15;3.3;0.36;10.07;2.0;-5.952;7.62464;0.945;1.0;-0.69019;3.66587;3.8625;1.2;-1.31015;4.44261;2.475;2.5;-26.23312;9.58294;0.27;0.108;5.62658;3.82447;1.57703;3.82455;5.62661;2.51176;4.5;-1.22531;-5.05961;-3.2741;-0.35046;0.0;0.0;0.0;0.0;1.25531;5.08961;3.2741;0.35946;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.03;0.03;0.0;0.009;0.069;0.0;9.97849;11.20542;0.00276;16.46292;11.96291;3.82454;5.62661;2.51176;0.0
11.0;0.15347;1.47439;0.4;0.4;1.5;4.75;3.66;0.198;10.108;2.0;-4.99968;7.62464;1.125;1.0;-0.74831;3.66587;3.5625;1.2;-1.18128;4.44261;2.745;2.5;-47.69659;9.58294;0.1485;0.153;5.62658;3.82447;1.7832;3.82455;5.62661;2.51176;4.5;-1.44933;-4.64875;-3.63093;-0.1842;0.0;0.0;0.0;0.0;1.49433;4.69375;3.63093;0.1977;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.045;0.045;0.0;0.0135;0.1035;0.0;10.01671;11.49109;0.00276;16.46292;11.96291;3.82454;5.62661;2.51176;0.0
12.0;0.15415;1.61717;0.4;0.4;1.26;4.95;3.99;0.231;10.431;2.0;-5.952;7.62464;0.945;1.0;-0.71808;3.66587;3.7125;1.2;-1.08358;4.44261;2.9925;2.5;-40.88279;9.58294;0.17325;0.135;5.62658;3.82447;2.12312;3.82455;5.62661;2.51176;4.5;-1.15012;-4.78543;-3.95768;-0.19913;0.0;0.0;0.0;0.0;1.25512;4.89043;3.95768;0.23063;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.105;0.105;0.0;0.0315;0.2415;0.0;10.33386;11.95103;0.00276;16.46292;11.96291;3.82454;5.62661;2.51176;0.0
13.0;0.15482;1.33986;0.4;0.4;1.5;5.35;3.99;0.264;11.104;2.0;-4.99968;7.62464;1.125;1.0;-0.66439;3.66587;4.0125;1.2;-1.08358;4.44261;2.9925;2.5;-35.77244;9.58294;0.198;0.09;5.62658;3.82447;2.45285;3.82455;5.62661;2.51176;4.5;-1.34406;-5.13462;-3.95707;-0.21856;0.0;0.0;0.0;0.0;1.49406;5.28462;3.95707;0.26356;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.15;0.15;0.0;0.045;0.345;0.0;10.9993;12.33917;0.00276;16.46292;11.96291;3.82454;5.62661;2.51176;0.0
