Timestep;Price;HV_LOAD;beta_co;beta_gc;Input_D_LV_MED;Input_D_MV_LOAD;Input_D_LV_HIGH;Input_D_LV_LOW;Total_Input_Demand;lambda_EOM_cap_LV_MED;E_EOM_LV_MED;lambda_EOM_0_LV_MED;D_EOM_cap_LV_MED;lambda_EOM_cap_MV_LOAD;E_EOM_MV_LOAD;lambda_EOM_0_MV_LOAD;D_EOM_cap_MV_LOAD;lambda_EOM_cap_LV_HIGH;E_EOM_LV_HIGH;lambda_EOM_0_LV_HIGH;D_EOM_cap_LV_HIGH;lambda_EOM_cap_LV_LOW;E_EOM_LV_LOW;lambda_EOM_0_LV_LOW;D_EOM_cap_LV_LOW;G_WindOnshore;G_Baseload;G_MidMerit;G_Peak;C_MidMerit;C_Baseload;C_Peak;C_WindOnshore;G_LV_MED;G_MV_LOAD;G_LV_HIGH;G_LV_LOW;ENS_LV_MED;ENS_MV_LOAD;ENS_LV_HIGH;ENS_LV_LOW;D_LV_MED;D_MV_LOAD;D_LV_HIGH;D_LV_LOW;D_elastic_LV_MED;D_elastic_MV_LOAD;D_elastic_LV_HIGH;D_elastic_LV_LOW;ENS_involuntary_LV_MED;ENS_involuntary_MV_LOAD;ENS_involuntary_LV_HIGH;ENS_involuntary_LV_LOW;PV_LV_MED;PV_MV_LOAD;PV_LV_HIGH;PV_LV_LOW;PV_Total;Total_ENS;Consumer_Demand;Total_Demand
11.0;0.15186;1.47439;1.0;1.0;1.5;4.75;3.66;0.198;10.108;2.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.2;0.0;0.0;0.0;2.5;0.0;0.0;0.0;0.153;6.94256;3.47221;0.91144;3.47221;6.94256;2.82288;4.5;-1.455;-4.705;-3.66;-0.1845;0.0;0.0;0.0;0.0;1.5;4.75;3.66;0.198;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.045;0.045;0.0;0.0135;0.1035;0.0;10.108;11.58239
12.0;0.15255;1.61717;1.0;1.0;1.26;4.95;3.99;0.231;10.431;2.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.2;0.0;0.0;0.0;2.5;0.0;0.0;0.0;0.135;6.94256;3.47221;1.25722;3.47221;6.94256;2.82288;4.5;-1.155;-4.845;-3.99;-0.1995;0.0;0.0;0.0;0.0;1.26;4.95;3.99;0.231;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.105;0.105;0.0;0.0315;0.2415;0.0;10.431;12.04817
13.0;0.15323;1.33986;1.0;1.0;1.5;5.35;3.99;0.264;11.104;2.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.2;0.0;0.0;0.0;2.5;0.0;0.0;0.0;0.09;6.94256;3.47221;1.59441;3.47221;6.94256;2.82288;4.5;-1.35;-5.2;-3.99;-0.219;0.0;0.0;0.0;0.0;1.5;5.35;3.99;0.264;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.15;0.15;0.0;0.045;0.345;0.0;11.104;12.44386
14.0;0.15303;1.43779;1.0;1.0;1.86;5.055;3.69;0.33;10.935;2.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.2;0.0;0.0;0.0;2.5;0.0;0.0;0.0;0.045;6.94256;3.47221;1.49934;3.47221;6.94256;2.82288;4.5;-1.68;-4.875;-3.69;-0.276;0.0;0.0;0.0;0.0;1.86;5.055;3.69;0.33;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.18;0.18;0.0;0.054;0.414;0.0;10.935;12.37279
15.0;0.15092;1.2599;1.0;1.0;1.5;4.95;3.36;0.198;10.008;2.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.2;0.0;0.0;0.0;2.5;0.0;0.0;0.0;0.0675;6.94256;3.47221;0.44095;3.47221;6.94256;2.82288;4.5;-1.35;-4.8;-3.36;-0.153;0.0;0.0;0.0;0.0;1.5;4.95;3.36;0.198;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.15;0.15;0.0;0.045;0.345;0.0;10.008;11.2679
16.0;0.15284;1.23028;1.0;1.0;1.26;4.95;4.5;0.198;10.908;2.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.2;0.0;0.0;0.0;2.5;0.0;0.0;0.0;0.045;6.94256;3.47221;1.40283;3.47221;6.94256;2.82288;4.5;-1.14;-4.83;-4.5;-0.162;0.0;0.0;0.0;0.0;1.26;4.95;4.5;0.198;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.12;0.12;0.0;0.036;0.276;0.0;10.908;12.13828
17.0;0.15381;1.27699;1.0;1.0;3.0;4.95;2.85;0.51;11.31;2.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.2;0.0;0.0;0.0;2.5;0.0;0.0;0.0;0.045;6.94256;3.47221;1.88604;3.47221;6.94256;2.82288;4.5;-2.895;-4.845;-2.85;-0.4785;0.0;0.0;0.0;0.0;3.0;4.95;2.85;0.51;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.105;0.105;0.0;0.0315;0.2415;0.0;11.31;12.58699
18.0;1.00162;1.52749;1.0;1.0;3.6;4.75;2.31;1.98;12.64;2.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.2;0.0;0.0;0.0;2.5;0.0;0.0;0.0;0.135;6.94256;3.47221;2.82288;3.47221;6.94256;2.82288;4.5;-3.525;-4.03057;-2.31;-1.9575;0.0;0.64443;0.0;0.0;3.6;4.10557;2.31;1.98;0.0;0.0;0.0;0.0;0.0;0.64443;0.0;0.0;0.075;0.075;0.0;0.0225;0.1725;0.64443;11.99557;13.52306
19.0;0.89176;1.58603;1.0;1.0;2.58;4.955;2.97;1.368;11.873;2.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.2;0.0;0.0;0.0;2.5;0.0;0.0;0.0;0.18;6.94256;3.47221;2.82288;3.47221;6.94256;2.82288;4.5;-2.58;-4.955;-2.97;-1.368;0.0;0.0;0.0;0.0;2.58;4.955;2.97;1.368;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11.873;13.45903
20.0;0.1548;1.34556;1.0;1.0;3.3;4.055;3.33;0.99;11.675;2.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.2;0.0;0.0;0.0;2.5;0.0;0.0;0.0;0.225;6.94256;3.47221;2.38111;3.47221;6.94256;2.82288;4.5;-3.3;-4.055;-3.33;-0.99;0.0;0.0;0.0;0.0;3.3;4.055;3.33;0.99;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11.675;13.02056
