Timestep;Price;HV_LOAD;beta_co;beta_gc;Input_D_LV_MED;Input_D_MV_LOAD;Input_D_LV_HIGH;Input_D_LV_LOW;Total_Input_Demand;lambda_EOM_cap_LV_MED;E_EOM_LV_MED;lambda_EOM_0_LV_MED;D_EOM_cap_LV_MED;lambda_EOM_cap_MV_LOAD;E_EOM_MV_LOAD;lambda_EOM_0_MV_LOAD;D_EOM_cap_MV_LOAD;lambda_EOM_cap_LV_HIGH;E_EOM_LV_HIGH;lambda_EOM_0_LV_HIGH;D_EOM_cap_LV_HIGH;lambda_EOM_cap_LV_LOW;E_EOM_LV_LOW;lambda_EOM_0_LV_LOW;D_EOM_cap_LV_LOW;G_WindOnshore;G_Baseload;G_MidMerit;G_Peak;C_MidMerit;C_Baseload;C_Peak;C_WindOnshore;G_LV_MED;G_MV_LOAD;G_LV_HIGH;G_LV_LOW;ENS_LV_MED;ENS_MV_LOAD;ENS_LV_HIGH;ENS_LV_LOW;D_LV_MED;D_MV_LOAD;D_LV_HIGH;D_LV_LOW;D_elastic_LV_MED;D_elastic_MV_LOAD;D_elastic_LV_HIGH;D_elastic_LV_LOW;ENS_involuntary_LV_MED;ENS_involuntary_MV_LOAD;ENS_involuntary_LV_HIGH;ENS_involuntary_LV_LOW;PV_LV_MED;PV_MV_LOAD;PV_LV_HIGH;PV_LV_LOW;PV_Total;Total_ENS;Consumer_Demand;Total_Demand;λ_cCM;C_system_total;C_cCM_vol;C_cCM_MidMerit;C_cCM_Baseload;C_cCM_Peak;C_cCM_WindOnshore
1.0;0.10237;1.40287;0.1;0.1;1.32;3.66;0.165;0.12;5.265;2.0;-5.68146;7.62464;0.99;1.0;-0.97117;3.66587;2.745;1.2;-26.20292;4.44261;0.12375;2.5;-78.69937;9.58294;0.09;0.315;4.70289;1.66427;1.0e-5;4.60103;4.70299;2.65899;4.5;-1.324;-3.66927;-0.16564;-0.12047;0.0;0.0;0.0;0.0;1.324;3.66927;0.16564;0.12047;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.27938;6.68225;0.00276;16.46301;11.96299;4.60103;4.70298;2.65899;0.0
2.0;0.10017;1.40281;0.1;0.1;0.285;3.155;0.165;0.075;3.68;2.0;-26.31411;7.62464;0.21375;1.0;-1.12662;3.66587;2.36625;1.2;-26.20292;4.44261;0.12375;2.5;-125.91899;9.58294;0.05625;0.225;4.70288;0.1659;1.0e-5;4.60103;4.70299;2.65899;4.5;-0.28595;-3.16496;-0.16572;-0.07531;0.0;0.0;0.0;0.0;0.28595;3.16496;0.16572;0.07531;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.69194;5.09475;0.00276;16.46301;11.96299;4.60103;4.70298;2.65899;0.0
3.0;0.10019;1.37684;0.1;0.1;0.255;3.155;0.165;0.105;3.68;2.0;-29.40989;7.62464;0.19125;1.0;-1.12662;3.66587;2.36625;1.2;-26.20292;4.44261;0.12375;2.5;-89.94214;9.58294;0.07875;0.18;4.70289;0.18439;1.0e-5;4.60103;4.70299;2.65899;4.5;-0.25585;-3.16493;-0.16572;-0.10543;0.0;0.0;0.0;0.0;0.25585;3.16493;0.16572;0.10543;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.69194;5.06878;0.00276;16.46301;11.96299;4.60103;4.70298;2.65899;0.0
4.0;0.10019;1.35769;0.1;0.1;0.225;3.155;0.165;0.105;3.65;2.0;-33.3312;7.62464;0.16875;1.0;-1.12662;3.66587;2.36625;1.2;-26.20292;4.44261;0.12375;2.5;-89.94214;9.58294;0.07875;0.135;4.70289;0.18075;1.0e-5;4.60103;4.70299;2.65899;4.5;-0.22575;-3.16493;-0.16572;-0.10543;0.0;0.0;0.0;0.0;0.22575;3.16493;0.16572;0.10543;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.66183;5.01952;0.00276;16.46301;11.96299;4.60103;4.70298;2.65899;0.0
5.0;0.10132;1.2612;0.1;0.1;0.165;4.055;0.33;0.105;4.655;2.0;-45.45164;7.62464;0.12375;1.0;-0.87657;3.66587;3.04125;1.2;-13.10146;4.44261;0.2475;2.5;-89.94214;9.58294;0.07875;0.09;4.70289;1.137;1.0e-5;4.60103;4.70299;2.65899;4.5;-0.16552;-4.06647;-0.33136;-0.10542;0.0;0.0;0.0;0.0;0.16552;4.06647;0.33136;0.10542;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.66878;5.92998;0.00276;16.46301;11.96299;4.60103;4.70298;2.65899;0.0
6.0;0.10326;1.42198;0.1;0.1;0.165;4.55;0.63;0.165;5.51;2.0;-45.45164;7.62464;0.12375;1.0;-0.78121;3.66587;3.4125;1.2;-6.86267;4.44261;0.4725;2.5;-57.2359;9.58294;0.12375;0.135;4.7029;2.1078;1.0e-5;4.60103;4.70299;2.65899;4.5;-0.16548;-4.56039;-0.63231;-0.16562;0.0;0.0;0.0;0.0;0.16548;4.56039;0.63231;0.16562;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.52381;6.94579;0.00276;16.46301;11.96299;4.60103;4.70298;2.65899;0.0
7.0;0.10709;1.59712;0.1;0.1;0.33;4.955;1.53;0.435;7.25;2.0;-22.72582;7.62464;0.2475;1.0;-0.71735;3.66587;3.71625;1.2;-2.8258;4.44261;1.1475;2.5;-21.71017;9.58294;0.32625;0.135;4.70291;4.02162;1.0e-5;4.60103;4.70299;2.65899;4.5;-0.33079;-4.96098;-1.53426;-0.43647;0.0;0.0;0.0;0.0;0.33079;4.96098;1.53426;0.43647;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.2625;8.85963;0.00276;16.46301;11.96299;4.60103;4.70298;2.65899;0.0
8.0;0.1516;1.34493;0.1;0.1;0.66;4.95;2.43;0.99;9.03;2.0;-11.36291;7.62464;0.495;1.0;-0.71808;3.66587;3.7125;1.2;-1.77921;4.44261;1.8225;2.5;-9.53932;9.58294;0.7425;0.0585;4.70295;4.601;0.9343;4.60103;4.70299;2.65899;4.5;-0.65767;-4.89399;-2.41175;-0.98868;0.0;0.0;0.0;0.0;0.65767;4.89399;2.41175;0.98868;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.9521;10.29703;0.00276;16.46301;11.96299;4.60103;4.70298;2.65899;0.0
9.0;0.15274;1.34381;0.1;0.1;0.9;5.25;3.0;0.576;9.726;2.0;-8.3328;7.62464;0.675;1.0;-0.67705;3.66587;3.9375;1.2;-1.44116;4.44261;2.25;2.5;-16.3957;9.58294;0.432;0.135;4.70295;4.601;1.50752;4.60103;4.70299;2.65899;4.5;-0.88169;-5.17391;-2.97668;-0.57066;0.0;0.0;0.0;0.0;0.89669;5.18891;2.97668;0.57516;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.015;0.015;0.0;0.0045;0.0345;0.0;9.63744;10.98126;0.00276;16.46301;11.96299;4.60103;4.70298;2.65899;0.0
10.0;0.15317;1.22693;0.1;0.1;1.26;5.15;3.3;0.36;10.07;2.0;-5.952;7.62464;0.945;1.0;-0.69019;3.66587;3.8625;1.2;-1.31015;4.44261;2.475;2.5;-26.23312;9.58294;0.27;0.108;4.70295;4.601;1.72391;4.60103;4.70299;2.65899;4.5;-1.22529;-5.05945;-3.27402;-0.35046;0.0;0.0;0.0;0.0;1.25529;5.08945;3.27402;0.35946;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.03;0.03;0.0;0.009;0.069;0.0;9.97822;11.20515;0.00276;16.46301;11.96299;4.60103;4.70298;2.65899;0.0
