Timestep;Price;HV_LOAD;beta_co;beta_gc;Input_D_LV_MED;Input_D_MV_LOAD;Input_D_LV_HIGH;Input_D_LV_LOW;Total_Input_Demand;lambda_EOM_cap_LV_MED;E_EOM_LV_MED;lambda_EOM_0_LV_MED;D_EOM_cap_LV_MED;lambda_EOM_cap_MV_LOAD;E_EOM_MV_LOAD;lambda_EOM_0_MV_LOAD;D_EOM_cap_MV_LOAD;lambda_EOM_cap_LV_HIGH;E_EOM_LV_HIGH;lambda_EOM_0_LV_HIGH;D_EOM_cap_LV_HIGH;lambda_EOM_cap_LV_LOW;E_EOM_LV_LOW;lambda_EOM_0_LV_LOW;D_EOM_cap_LV_LOW;G_WindOnshore;G_Baseload;G_MidMerit;G_Peak;C_MidMerit;C_Baseload;C_Peak;C_WindOnshore;G_LV_MED;G_MV_LOAD;G_LV_HIGH;G_LV_LOW;ENS_LV_MED;ENS_MV_LOAD;ENS_LV_HIGH;ENS_LV_LOW;D_LV_MED;D_MV_LOAD;D_LV_HIGH;D_LV_LOW;D_elastic_LV_MED;D_elastic_MV_LOAD;D_elastic_LV_HIGH;D_elastic_LV_LOW;ENS_involuntary_LV_MED;ENS_involuntary_MV_LOAD;ENS_involuntary_LV_HIGH;ENS_involuntary_LV_LOW;PV_LV_MED;PV_MV_LOAD;PV_LV_HIGH;PV_LV_LOW;PV_Total;Total_ENS;Consumer_Demand;Total_Demand
1.0;0.10096;1.40287;0.4;0.4;1.32;3.66;0.165;0.12;5.265;2.0;-5.68146;7.62464;0.99;1.0;-0.97117;3.66587;2.745;1.2;-26.20292;4.44261;0.12375;2.5;-78.69937;9.58294;0.09;0.315;5.62722;0.74189;1.0e-5;3.81255;5.62729;2.03153;4.5;-1.32425;-3.67073;-0.16569;-0.12048;0.0;0.0;0.0;0.0;1.32425;3.67073;0.16569;0.12048;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.28116;6.68403
2.0;0.08721;1.40281;0.4;0.4;0.285;3.155;0.165;0.075;3.68;2.0;-26.31411;7.62464;0.21375;1.0;-1.12662;3.66587;2.36625;1.2;-26.20292;4.44261;0.12375;2.5;-125.91899;9.58294;0.05625;0.225;4.88216;0.00025;0.0;3.81255;5.62729;2.03153;4.5;-0.28644;-3.17646;-0.16622;-0.07541;0.0;0.0;0.0;0.0;0.28644;3.17646;0.16622;0.07541;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.70453;5.10734
3.0;0.08725;1.37684;0.4;0.4;0.255;3.155;0.165;0.105;3.68;2.0;-29.40989;7.62464;0.19125;1.0;-1.12662;3.66587;2.36625;1.2;-26.20292;4.44261;0.12375;2.5;-89.94214;9.58294;0.07875;0.18;4.90116;0.00025;0.0;3.81255;5.62729;2.03153;4.5;-0.25629;-3.17641;-0.16622;-0.10558;0.0;0.0;0.0;0.0;0.25629;3.17641;0.16622;0.10558;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.70449;5.08133
4.0;0.08724;1.35769;0.4;0.4;0.225;3.155;0.165;0.105;3.65;2.0;-33.3312;7.62464;0.16875;1.0;-1.12662;3.66587;2.36625;1.2;-26.20292;4.44261;0.12375;2.5;-89.94214;9.58294;0.07875;0.135;4.89686;0.00025;0.0;3.81255;5.62729;2.03153;4.5;-0.22614;-3.17642;-0.16622;-0.10558;0.0;0.0;0.0;0.0;0.22614;3.17642;0.16622;0.10558;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.67435;5.03204
5.0;0.0999;1.2612;0.4;0.4;0.165;4.055;0.33;0.105;4.655;2.0;-45.45164;7.62464;0.12375;1.0;-0.87657;3.66587;3.04125;1.2;-13.10146;4.44261;0.2475;2.5;-89.94214;9.58294;0.07875;0.09;5.62721;0.21461;1.0e-5;3.81255;5.62729;2.03153;4.5;-0.16555;-4.06809;-0.33147;-0.10543;0.0;0.0;0.0;0.0;0.16555;4.06809;0.33147;0.10543;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.67055;5.93174
6.0;0.10185;1.42198;0.4;0.4;0.165;4.55;0.63;0.165;5.51;2.0;-45.45164;7.62464;0.12375;1.0;-0.78121;3.66587;3.4125;1.2;-6.86267;4.44261;0.4725;2.5;-57.2359;9.58294;0.12375;0.135;5.62723;1.18572;1.0e-5;3.81255;5.62729;2.03153;4.5;-0.16551;-4.5622;-0.63252;-0.16565;0.0;0.0;0.0;0.0;0.16551;4.5622;0.63252;0.16565;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.52588;6.94786
7.0;0.10416;1.59712;0.4;0.4;0.33;4.955;1.53;0.435;7.25;2.0;-22.72582;7.62464;0.2475;1.0;-0.71735;3.66587;3.71625;1.2;-2.8258;4.44261;1.1475;2.5;-21.71017;9.58294;0.32625;0.135;5.62693;3.10254;1.0e-5;3.81255;5.62729;2.03153;4.5;-0.33092;-4.96506;-1.5353;-0.43661;0.0;0.0;0.0;0.0;0.33092;4.96506;1.5353;0.43661;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.26788;8.86501
8.0;0.15157;1.34493;0.4;0.4;0.66;4.95;2.43;0.99;9.03;2.0;-11.36291;7.62464;0.495;1.0;-0.71808;3.66587;3.7125;1.2;-1.77921;4.44261;1.8225;2.5;-9.53932;9.58294;0.7425;0.0585;5.62726;3.8125;0.79852;3.81255;5.62729;2.03153;4.5;-0.65767;-4.89403;-2.41177;-0.98868;0.0;0.0;0.0;0.0;0.65767;4.89403;2.41177;0.98868;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.95216;10.29709
9.0;0.15271;1.34381;0.4;0.4;0.9;5.25;3.0;0.576;9.726;2.0;-8.3328;7.62464;0.675;1.0;-0.67705;3.66587;3.9375;1.2;-1.44116;4.44261;2.25;2.5;-16.3957;9.58294;0.432;0.135;5.62726;3.81251;1.37173;3.81255;5.62729;2.03153;4.5;-0.88169;-5.17395;-2.9767;-0.57066;0.0;0.0;0.0;0.0;0.89669;5.18895;2.9767;0.57516;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.015;0.015;0.0;0.0045;0.0345;0.0;9.6375;10.98132
10.0;0.15314;1.22693;0.4;0.4;1.26;5.15;3.3;0.36;10.07;2.0;-5.952;7.62464;0.945;1.0;-0.69019;3.66587;3.8625;1.2;-1.31015;4.44261;2.475;2.5;-26.23312;9.58294;0.27;0.108;5.62726;3.81251;1.58813;3.81255;5.62729;2.03153;4.5;-1.22529;-5.05949;-3.27404;-0.35046;0.0;0.0;0.0;0.0;1.25529;5.08949;3.27404;0.35946;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.03;0.03;0.0;0.009;0.069;0.0;9.97828;11.20522
11.0;0.15356;1.47439;0.4;0.4;1.5;4.75;3.66;0.198;10.108;2.0;-4.99968;7.62464;1.125;1.0;-0.74831;3.66587;3.5625;1.2;-1.18128;4.44261;2.745;2.5;-47.69659;9.58294;0.1485;0.153;5.62726;3.81251;1.79431;3.81255;5.62729;2.03153;4.5;-1.44931;-4.64864;-3.63086;-0.1842;0.0;0.0;0.0;0.0;1.49431;4.69364;3.63086;0.1977;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.045;0.045;0.0;0.0135;0.1035;0.0;10.0165;11.49089
12.0;0.19515;1.61717;0.4;0.4;1.26;4.95;3.99;0.231;10.431;2.0;-5.952;7.62464;0.945;1.0;-0.71808;3.66587;3.7125;1.2;-1.08358;4.44261;2.9925;2.5;-40.88279;9.58294;0.17325;0.135;5.62727;3.81253;2.03152;3.81255;5.62729;2.03153;4.5;-1.14324;-4.72835;-3.91985;-0.19813;0.0;0.0;0.0;0.0;1.24824;4.83335;3.91985;0.22963;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.105;0.105;0.0;0.0315;0.2415;0.0;10.23106;11.84823
13.0;0.31763;1.33986;0.4;0.4;1.5;5.35;3.99;0.264;11.104;2.0;-4.99968;7.62464;1.125;1.0;-0.66439;3.66587;4.0125;1.2;-1.08358;4.44261;2.9925;2.5;-35.77244;9.58294;0.198;0.09;5.62728;3.81254;2.03153;3.81255;5.62729;2.03153;4.5;-1.31149;-4.88956;-3.80681;-0.21401;0.0;0.0;0.0;0.0;1.46149;5.03956;3.80681;0.25901;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.15;0.15;0.0;0.045;0.345;0.0;10.56687;11.90673
14.0;0.28844;1.43779;0.4;0.4;1.86;5.055;3.69;0.33;10.935;2.0;-4.032;7.62464;1.395;1.0;-0.70316;3.66587;3.79125;1.2;-1.17168;4.44261;2.7675;2.5;-28.61795;9.58294;0.2475;0.045;5.62728;3.81254;2.03153;3.81255;5.62729;2.03153;4.5;-1.63949;-4.62319;-3.5455;-0.27078;0.0;0.0;0.0;0.0;1.81949;4.80319;3.5455;0.32478;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.18;0.18;0.0;0.054;0.414;0.0;10.49296;11.93075
15.0;0.15262;1.2599;0.4;0.4;1.5;4.95;3.36;0.198;10.008;2.0;-4.99968;7.62464;1.125;1.0;-0.71808;3.66587;3.7125;1.2;-1.28675;4.44261;2.52;2.5;-47.69659;9.58294;0.1485;0.0675;5.62726;3.81251;1.32607;3.81255;5.62729;2.03153;4.5;-1.3445;-4.74257;-3.33397;-0.15271;0.0;0.0;0.0;0.0;1.4945;4.89257;3.33397;0.19771;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.15;0.15;0.0;0.045;0.345;0.0;9.91876;11.17866
16.0;0.24733;1.23028;0.4;0.4;1.26;4.95;4.5;0.198;10.908;2.0;-5.952;7.62464;0.945;1.0;-0.71808;3.66587;3.7125;1.2;-0.96077;4.44261;3.375;2.5;-47.69659;9.58294;0.1485;0.045;5.62727;3.81254;2.03152;3.81255;5.62729;2.03153;4.5;-1.11947;-4.64068;-4.36657;-0.15973;0.0;0.0;0.0;0.0;1.23947;4.76068;4.36657;0.19573;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.12;0.12;0.0;0.036;0.276;0.0;10.56245;11.79273
17.0;0.44692;1.27699;0.4;0.4;3.0;4.95;2.85;0.51;11.31;2.0;-2.49984;7.62464;2.25;1.0;-0.71808;3.66587;3.7125;1.2;-1.51701;4.44261;2.1375;2.5;-18.5175;9.58294;0.3825;0.045;5.62728;3.81254;2.03153;3.81255;5.62729;2.03153;4.5;-2.76627;-4.37773;-2.63393;-0.46187;0.0;0.0;0.0;0.0;2.87127;4.48273;2.63393;0.49337;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.105;0.105;0.0;0.0315;0.2415;0.0;10.4813;11.75829
18.0;1.00001;1.52749;0.4;0.4;3.6;4.75;2.31;1.98;12.64;2.0;-2.0832;7.62464;2.7;1.0;-0.74831;3.66587;3.5625;1.2;-1.87164;4.44261;1.7325;2.5;-4.76966;9.58294;1.485;0.135;5.62728;3.81254;2.03153;3.81255;5.62729;2.03153;4.5;-3.10503;-3.35751;-1.83936;-1.77699;0.0;0.12998;0.0;0.0;3.18003;3.43251;1.83936;1.79949;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.075;0.075;0.0;0.0225;0.1725;0.12998;10.25138;11.77888
19.0;0.8201;1.58603;0.4;0.4;2.58;4.955;2.97;1.368;11.873;2.0;-2.90679;7.62464;1.935;1.0;-0.71735;3.66587;3.71625;1.2;-1.45572;4.44261;2.2275;2.5;-6.90345;9.58294;1.026;0.18;5.62728;3.81254;2.03153;3.81255;5.62729;2.03153;4.5;-2.34091;-3.96703;-2.48847;-1.26934;0.0;0.0;0.0;0.0;2.34091;3.96703;2.48847;1.26934;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.06576;11.65179
20.0;0.65646;1.34556;0.4;0.4;3.3;4.055;3.33;0.99;11.675;2.0;-2.27258;7.62464;2.475;1.0;-0.87657;3.66587;3.04125;1.2;-1.29834;4.44261;2.4975;2.5;-9.53932;9.58294;0.7425;0.225;5.62728;3.81254;2.03153;3.81255;5.62729;2.03153;4.5;-3.0662;-3.43317;-2.91615;-0.93576;0.0;0.0;0.0;0.0;3.0662;3.43317;2.91615;0.93576;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.35127;11.69683
21.0;0.15302;1.22179;0.4;0.4;2.7;3.85;2.55;0.99;10.09;2.0;-2.7776;7.62464;2.025;1.0;-0.92324;3.66587;2.8875;1.2;-1.69548;4.44261;1.9125;2.5;-9.53932;9.58294;0.7425;0.27;5.62726;3.81251;1.5251;3.81255;5.62729;2.03153;4.5;-2.68996;-3.8049;-2.53001;-0.98853;0.0;0.0;0.0;0.0;2.68996;3.8049;2.53001;0.98853;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.0134;11.23519
