Timestep;Price;HV_LOAD;beta_co;beta_gc;Input_D_LV_MED;Input_D_MV_LOAD;Input_D_LV_HIGH;Input_D_LV_LOW;Total_Input_Demand;lambda_EOM_cap_LV_MED;E_EOM_LV_MED;lambda_EOM_0_LV_MED;D_EOM_cap_LV_MED;lambda_EOM_cap_MV_LOAD;E_EOM_MV_LOAD;lambda_EOM_0_MV_LOAD;D_EOM_cap_MV_LOAD;lambda_EOM_cap_LV_HIGH;E_EOM_LV_HIGH;lambda_EOM_0_LV_HIGH;D_EOM_cap_LV_HIGH;lambda_EOM_cap_LV_LOW;E_EOM_LV_LOW;lambda_EOM_0_LV_LOW;D_EOM_cap_LV_LOW;G_WindOnshore;G_Baseload;G_MidMerit;G_Peak;C_MidMerit;C_Baseload;C_Peak;C_WindOnshore;G_LV_MED;G_MV_LOAD;G_LV_HIGH;G_LV_LOW;ENS_LV_MED;ENS_MV_LOAD;ENS_LV_HIGH;ENS_LV_LOW;D_LV_MED;D_MV_LOAD;D_LV_HIGH;D_LV_LOW;D_elastic_LV_MED;D_elastic_MV_LOAD;D_elastic_LV_HIGH;D_elastic_LV_LOW;ENS_involuntary_LV_MED;ENS_involuntary_MV_LOAD;ENS_involuntary_LV_HIGH;ENS_involuntary_LV_LOW;PV_LV_MED;PV_MV_LOAD;PV_LV_HIGH;PV_LV_LOW;PV_Total;Total_ENS;Consumer_Demand;Total_Demand
1.0;0.10234;1.40287;0.1;0.1;1.32;3.66;0.165;0.12;5.265;2.0;-5.68146;7.62464;0.99;1.0;-0.97117;3.66587;2.745;1.2;-26.20292;4.44261;0.12375;2.5;-78.69937;9.58294;0.09;0.315;4.69505;1.67212;1.0e-5;4.6062;4.69515;2.16995;4.5;-1.32401;-3.6693;-0.16564;-0.12047;0.0;0.0;0.0;0.0;1.32401;3.6693;0.16564;0.12047;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.27942;6.68229
2.0;0.10017;1.40281;0.1;0.1;0.285;3.155;0.165;0.075;3.68;2.0;-26.31411;7.62464;0.21375;1.0;-1.12662;3.66587;2.36625;1.2;-26.20292;4.44261;0.12375;2.5;-125.91899;9.58294;0.05625;0.225;4.69504;0.17452;1.0e-5;4.6062;4.69515;2.16995;4.5;-0.28595;-3.16495;-0.16572;-0.07531;0.0;0.0;0.0;0.0;0.28595;3.16495;0.16572;0.07531;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.69193;5.09474
3.0;0.10022;1.37684;0.1;0.1;0.255;3.155;0.165;0.105;3.68;2.0;-29.40989;7.62464;0.19125;1.0;-1.12662;3.66587;2.36625;1.2;-26.20292;4.44261;0.12375;2.5;-89.94214;9.58294;0.07875;0.18;4.69504;0.19292;1.0e-5;4.6062;4.69515;2.16995;4.5;-0.25585;-3.16491;-0.16572;-0.10543;0.0;0.0;0.0;0.0;0.25585;3.16491;0.16572;0.10543;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.6919;5.06874
4.0;0.1002;1.35769;0.1;0.1;0.225;3.155;0.165;0.105;3.65;2.0;-33.3312;7.62464;0.16875;1.0;-1.12662;3.66587;2.36625;1.2;-26.20292;4.44261;0.12375;2.5;-89.94214;9.58294;0.07875;0.135;4.69504;0.1894;1.0e-5;4.6062;4.69515;2.16995;4.5;-0.22575;-3.16493;-0.16572;-0.10543;0.0;0.0;0.0;0.0;0.22575;3.16493;0.16572;0.10543;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.66183;5.01952
5.0;0.1013;1.2612;0.1;0.1;0.165;4.055;0.33;0.105;4.655;2.0;-45.45164;7.62464;0.12375;1.0;-0.87657;3.66587;3.04125;1.2;-13.10146;4.44261;0.2475;2.5;-89.94214;9.58294;0.07875;0.09;4.69505;1.14486;1.0e-5;4.6062;4.69515;2.16995;4.5;-0.16552;-4.0665;-0.33136;-0.10542;0.0;0.0;0.0;0.0;0.16552;4.0665;0.33136;0.10542;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.66881;5.93001
6.0;0.10323;1.42198;0.1;0.1;0.165;4.55;0.63;0.165;5.51;2.0;-45.45164;7.62464;0.12375;1.0;-0.78121;3.66587;3.4125;1.2;-6.86267;4.44261;0.4725;2.5;-57.2359;9.58294;0.12375;0.135;4.69506;2.11567;1.0e-5;4.6062;4.69515;2.16995;4.5;-0.16548;-4.56043;-0.63232;-0.16563;0.0;0.0;0.0;0.0;0.16548;4.56043;0.63232;0.16563;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.52386;6.94584
7.0;0.10706;1.59712;0.1;0.1;0.33;4.955;1.53;0.435;7.25;2.0;-22.72582;7.62464;0.2475;1.0;-0.71735;3.66587;3.71625;1.2;-2.8258;4.44261;1.1475;2.5;-21.71017;9.58294;0.32625;0.135;4.69507;4.02951;1.0e-5;4.6062;4.69515;2.16995;4.5;-0.33079;-4.96102;-1.53427;-0.43647;0.0;0.0;0.0;0.0;0.33079;4.96102;1.53427;0.43647;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.26256;8.85969
8.0;0.15164;1.34493;0.1;0.1;0.66;4.95;2.43;0.99;9.03;2.0;-11.36291;7.62464;0.495;1.0;-0.71808;3.66587;3.7125;1.2;-1.77921;4.44261;1.8225;2.5;-9.53932;9.58294;0.7425;0.0585;4.69511;4.60616;0.93688;4.6062;4.69515;2.16995;4.5;-0.65767;-4.89393;-2.41173;-0.98868;0.0;0.0;0.0;0.0;0.65767;4.89393;2.41173;0.98868;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.952;10.29693
9.0;0.15279;1.34381;0.1;0.1;0.9;5.25;3.0;0.576;9.726;2.0;-8.3328;7.62464;0.675;1.0;-0.67705;3.66587;3.9375;1.2;-1.44116;4.44261;2.25;2.5;-16.3957;9.58294;0.432;0.135;4.69511;4.60616;1.51008;4.6062;4.69515;2.16995;4.5;-0.88168;-5.17384;-2.97665;-0.57066;0.0;0.0;0.0;0.0;0.89668;5.18884;2.97665;0.57516;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.015;0.015;0.0;0.0045;0.0345;0.0;9.63733;10.98114
10.0;0.15322;1.22693;0.1;0.1;1.26;5.15;3.3;0.36;10.07;2.0;-5.952;7.62464;0.945;1.0;-0.69019;3.66587;3.8625;1.2;-1.31015;4.44261;2.475;2.5;-26.23312;9.58294;0.27;0.108;4.69511;4.60616;1.72647;4.6062;4.69515;2.16995;4.5;-1.22528;-5.05938;-3.27398;-0.35046;0.0;0.0;0.0;0.0;1.25528;5.08938;3.27398;0.35946;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.03;0.03;0.0;0.009;0.069;0.0;9.9781;11.20504
11.0;0.15363;1.47439;0.1;0.1;1.5;4.75;3.66;0.198;10.108;2.0;-4.99968;7.62464;1.125;1.0;-0.74831;3.66587;3.5625;1.2;-1.18128;4.44261;2.745;2.5;-47.69659;9.58294;0.1485;0.153;4.69511;4.60616;1.93265;4.6062;4.69515;2.16995;4.5;-1.4493;-4.64854;-3.63079;-0.18419;0.0;0.0;0.0;0.0;1.4943;4.69354;3.63079;0.19769;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.045;0.045;0.0;0.0135;0.1035;0.0;10.01632;11.49071
12.0;0.19521;1.61717;0.1;0.1;1.26;4.95;3.99;0.231;10.431;2.0;-5.952;7.62464;0.945;1.0;-0.71808;3.66587;3.7125;1.2;-1.08358;4.44261;2.9925;2.5;-40.88279;9.58294;0.17325;0.135;4.69512;4.60618;2.16993;4.6062;4.69515;2.16995;4.5;-1.14322;-4.72825;-3.91979;-0.19813;0.0;0.0;0.0;0.0;1.24822;4.83325;3.91979;0.22963;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.105;0.105;0.0;0.0315;0.2415;0.0;10.23089;11.84806
13.0;0.3177;1.33986;0.1;0.1;1.5;5.35;3.99;0.264;11.104;2.0;-4.99968;7.62464;1.125;1.0;-0.66439;3.66587;4.0125;1.2;-1.08358;4.44261;2.9925;2.5;-35.77244;9.58294;0.198;0.09;4.69513;4.60619;2.16994;4.6062;4.69515;2.16995;4.5;-1.31148;-4.88946;-3.80675;-0.21401;0.0;0.0;0.0;0.0;1.46148;5.03946;3.80675;0.25901;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.15;0.15;0.0;0.045;0.345;0.0;10.56669;11.90655
14.0;0.28851;1.43779;0.1;0.1;1.86;5.055;3.69;0.33;10.935;2.0;-4.032;7.62464;1.395;1.0;-0.70316;3.66587;3.79125;1.2;-1.17168;4.44261;2.7675;2.5;-28.61795;9.58294;0.2475;0.045;4.69513;4.60619;2.16994;4.6062;4.69515;2.16995;4.5;-1.63948;-4.62309;-3.54544;-0.27078;0.0;0.0;0.0;0.0;1.81948;4.80309;3.54544;0.32478;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.18;0.18;0.0;0.054;0.414;0.0;10.49278;11.93058
15.0;0.15269;1.2599;0.1;0.1;1.5;4.95;3.36;0.198;10.008;2.0;-4.99968;7.62464;1.125;1.0;-0.71808;3.66587;3.7125;1.2;-1.28675;4.44261;2.52;2.5;-47.69659;9.58294;0.1485;0.0675;4.69511;4.60616;1.46442;4.6062;4.69515;2.16995;4.5;-1.34448;-4.74246;-3.33392;-0.15271;0.0;0.0;0.0;0.0;1.49448;4.89246;3.33392;0.19771;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.15;0.15;0.0;0.045;0.345;0.0;9.91858;11.17848
16.0;0.24739;1.23028;0.1;0.1;1.26;4.95;4.5;0.198;10.908;2.0;-5.952;7.62464;0.945;1.0;-0.71808;3.66587;3.7125;1.2;-0.96077;4.44261;3.375;2.5;-47.69659;9.58294;0.1485;0.045;4.69513;4.60619;2.16994;4.6062;4.69515;2.16995;4.5;-1.11946;-4.64059;-4.3665;-0.15973;0.0;0.0;0.0;0.0;1.23946;4.76059;4.3665;0.19573;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.12;0.12;0.0;0.036;0.276;0.0;10.56227;11.79255
17.0;0.44699;1.27699;0.1;0.1;3.0;4.95;2.85;0.51;11.31;2.0;-2.49984;7.62464;2.25;1.0;-0.71808;3.66587;3.7125;1.2;-1.51701;4.44261;2.1375;2.5;-18.5175;9.58294;0.3825;0.045;4.69514;4.60619;2.16995;4.6062;4.69515;2.16995;4.5;-2.76625;-4.37763;-2.63388;-0.46187;0.0;0.0;0.0;0.0;2.87125;4.48263;2.63388;0.49337;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.105;0.105;0.0;0.0315;0.2415;0.0;10.48113;11.75811
18.0;1.0;1.52749;0.1;0.1;3.6;4.75;2.31;1.98;12.64;2.0;-2.0832;7.62464;2.7;1.0;-0.74831;3.66587;3.5625;1.2;-1.87164;4.44261;1.7325;2.5;-4.76966;9.58294;1.485;0.135;4.69514;4.6062;2.16995;4.6062;4.69515;2.16995;4.5;-3.10503;-3.3574;-1.83936;-1.77699;0.0;0.1301;0.0;0.0;3.18003;3.4324;1.83936;1.79949;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.075;0.075;0.0;0.0225;0.1725;0.1301;10.25128;11.77877
19.0;0.82017;1.58603;0.1;0.1;2.58;4.955;2.97;1.368;11.873;2.0;-2.90679;7.62464;1.935;1.0;-0.71735;3.66587;3.71625;1.2;-1.45572;4.44261;2.2275;2.5;-6.90345;9.58294;1.026;0.18;4.69514;4.6062;2.16995;4.6062;4.69515;2.16995;4.5;-2.34089;-3.96694;-2.48842;-1.26933;0.0;0.0;0.0;0.0;2.34089;3.96694;2.48842;1.26933;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.06558;11.65161
20.0;0.65653;1.34556;0.1;0.1;3.3;4.055;3.33;0.99;11.675;2.0;-2.27258;7.62464;2.475;1.0;-0.87657;3.66587;3.04125;1.2;-1.29834;4.44261;2.4975;2.5;-9.53932;9.58294;0.7425;0.225;4.69514;4.6062;2.16995;4.6062;4.69515;2.16995;4.5;-3.06617;-3.43309;-2.91609;-0.93575;0.0;0.0;0.0;0.0;3.06617;3.43309;2.91609;0.93575;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.35109;11.69665
21.0;0.15309;1.22179;0.1;0.1;2.7;3.85;2.55;0.99;10.09;2.0;-2.7776;7.62464;2.025;1.0;-0.92324;3.66587;2.8875;1.2;-1.69548;4.44261;1.9125;2.5;-9.53932;9.58294;0.7425;0.27;4.69511;4.60616;1.66347;4.6062;4.69515;2.16995;4.5;-2.68993;-3.80482;-2.52997;-0.98852;0.0;0.0;0.0;0.0;2.68993;3.80482;2.52997;0.98852;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.01324;11.23503
22.0;0.10804;1.05882;0.1;0.1;2.4;4.054;1.65;0.33;8.434;2.0;-3.1248;7.62464;1.8;1.0;-0.87679;3.66587;3.0405;1.2;-2.62029;4.44261;1.2375;2.5;-28.61795;9.58294;0.2475;0.315;4.69507;4.49738;1.0e-5;4.6062;4.69515;2.16995;4.5;-2.40547;-4.05781;-1.65423;-0.33108;0.0;0.0;0.0;0.0;2.40547;4.05781;1.65423;0.33108;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.44859;9.50741
23.0;0.10474;1.0796;0.1;0.1;1.8;3.785;1.05;0.15;6.785;2.0;-4.1664;7.62464;1.35;1.0;-0.9391;3.66587;2.83875;1.2;-4.1176;4.44261;0.7875;2.5;-62.95949;9.58294;0.1125;0.315;4.69506;2.87043;1.0e-5;4.6062;4.69515;2.16995;4.5;-1.80489;-3.79207;-1.0535;-0.15054;0.0;0.0;0.0;0.0;1.80489;3.79207;1.0535;0.15054;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.801;7.8806
24.0;0.10328;1.21054;0.1;0.1;1.5;3.6;0.75;0.12;5.97;2.0;-4.99968;7.62464;1.125;1.0;-0.98736;3.66587;2.7;1.2;-5.76464;4.44261;0.5625;2.5;-78.69937;9.58294;0.09;0.36;4.69506;2.14114;1.0e-5;4.6062;4.69515;2.16995;4.5;-1.50437;-3.6082;-0.75275;-0.12045;0.0;0.0;0.0;0.0;1.50437;3.6082;0.75275;0.12045;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.98577;7.19631
25.0;0.09979;1.28327;0.1;0.1;1.26;3.25;0.165;0.12;4.795;2.0;-5.952;7.62464;0.945;1.0;-1.09369;3.66587;2.4375;1.2;-26.20292;4.44261;0.12375;2.5;-78.69937;9.58294;0.09;1.395;4.69503;0.00598;1.0e-5;4.6062;4.69515;2.16995;4.5;-1.26425;-3.26059;-0.16574;-0.1205;0.0;0.0;0.0;0.0;1.26425;3.26059;0.16574;0.1205;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.81108;6.09436
