Timestep;Price;HV_LOAD;beta_co;beta_gc;Input_D_LV_MED;Input_D_MV_LOAD;Input_D_LV_HIGH;Input_D_LV_LOW;Total_Input_Demand;lambda_EOM_cap_LV_MED;E_EOM_LV_MED;lambda_EOM_0_LV_MED;D_EOM_cap_LV_MED;lambda_EOM_cap_MV_LOAD;E_EOM_MV_LOAD;lambda_EOM_0_MV_LOAD;D_EOM_cap_MV_LOAD;lambda_EOM_cap_LV_HIGH;E_EOM_LV_HIGH;lambda_EOM_0_LV_HIGH;D_EOM_cap_LV_HIGH;lambda_EOM_cap_LV_LOW;E_EOM_LV_LOW;lambda_EOM_0_LV_LOW;D_EOM_cap_LV_LOW;G_WindOnshore;G_Baseload;G_MidMerit;G_Peak;C_MidMerit;C_Baseload;C_Peak;C_WindOnshore;G_LV_MED;G_MV_LOAD;G_LV_HIGH;G_LV_LOW;ENS_LV_MED;ENS_MV_LOAD;ENS_LV_HIGH;ENS_LV_LOW;D_LV_MED;D_MV_LOAD;D_LV_HIGH;D_LV_LOW;D_elastic_LV_MED;D_elastic_MV_LOAD;D_elastic_LV_HIGH;D_elastic_LV_LOW;ENS_involuntary_LV_MED;ENS_involuntary_MV_LOAD;ENS_involuntary_LV_HIGH;ENS_involuntary_LV_LOW;PV_LV_MED;PV_MV_LOAD;PV_LV_HIGH;PV_LV_LOW;PV_Total;Total_ENS;Consumer_Demand;Total_Demand;λ_dCM;C_system_total;C_dCM_vol;C_dCM_MidMerit;C_dCM_Baseload;C_dCM_Peak;C_dCM_WindOnshore;C_dCM_LV_MED;C_dCM_MV_LOAD;C_dCM_LV_HIGH;C_dCM_LV_LOW
263.0;0.1007;0.87862;0.2;0.2;1.74;3.45;0.93;0.15;6.27;2.0;-4.31007;7.62464;1.305;1.0;-1.03029;3.66587;2.5875;1.2;-4.6489;4.44261;0.6975;2.5;-62.95949;9.58294;0.1125;1.48499;5.01456;0.6697;1.0e-5;4.31034;5.01483;2.14496;4.5;-1.74567;-3.46037;-0.93397;-0.15061;0.0;0.0;0.0;0.0;1.74567;3.46037;0.93397;0.15061;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.29061;7.16923;0.00363;15.97012;10.33822;4.06541;4.12891;2.14389;0.0;-0.00591;-8.69482;-0.01503;-0.00585
264.0;0.10003;0.88833;0.2;0.2;1.59;3.26;0.63;0.12;5.6;2.0;-4.71668;7.62464;1.1925;1.0;-1.09033;3.66587;2.445;1.2;-6.86267;4.44261;0.4725;2.5;-78.69937;9.58294;0.09;1.43999;5.01475;0.05238;1.0e-5;4.31034;5.01483;2.14496;4.5;-1.59532;-3.27041;-0.63278;-0.1205;0.0;0.0;0.0;0.0;1.59532;3.27041;0.63278;0.1205;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.61901;6.50734;0.00363;15.97012;10.33822;4.06541;4.12891;2.14389;0.0;-0.00591;-8.69482;-0.01503;-0.00585
265.0;0.08553;0.96817;0.2;0.2;1.26;3.83;0.15;0.12;5.36;2.0;-5.952;7.62464;0.945;1.0;-0.92806;3.66587;2.8725;1.2;-28.82321;4.44261;0.1125;2.5;-78.69937;9.58294;0.09;2.15999;4.20441;3.0e-5;1.0e-5;4.31034;5.01483;2.14496;4.5;-1.26665;-3.85786;-0.15117;-0.12068;0.0;0.0;0.0;0.0;1.26665;3.85786;0.15117;0.12068;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.39635;6.36452;0.00363;15.97012;10.33822;4.06541;4.12891;2.14389;0.0;-0.00591;-8.69482;-0.01503;-0.00585
266.0;0.08109;0.98997;0.2;0.2;0.27;3.0;0.15;0.06;3.48;2.0;-27.776;7.62464;0.2025;1.0;-1.18483;3.66587;2.25;1.2;-28.82321;4.44261;0.1125;2.5;-157.39874;9.58294;0.045;2.06999;2.42873;2.0e-5;1.0e-5;4.31034;5.01483;2.14496;4.5;-0.27159;-3.02557;-0.15132;-0.06037;0.0;0.0;0.0;0.0;0.27159;3.02557;0.15132;0.06037;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.50884;4.49881;0.00363;15.97012;10.33822;4.06541;4.12891;2.14389;0.0;-0.00591;-8.69482;-0.01503;-0.00585
267.0;0.08208;0.99156;0.2;0.2;0.24;3.44;0.15;0.09;3.92;2.0;-31.248;7.62464;0.18;1.0;-1.03328;3.66587;2.58;1.2;-28.82321;4.44261;0.1125;2.5;-104.93249;9.58294;0.0675;2.11499;2.82803;2.0e-5;1.0e-5;4.31034;5.01483;2.14496;4.5;-0.24138;-3.46835;-0.15129;-0.09054;0.0;0.0;0.0;0.0;0.24138;3.46835;0.15129;0.09054;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.95156;4.94312;0.00363;15.97012;10.33822;4.06541;4.12891;2.14389;0.0;-0.00591;-8.69482;-0.01503;-0.00585
268.0;0.08175;1.03297;0.2;0.2;0.21;3.16;0.15;0.09;3.61;2.0;-35.712;7.62464;0.1575;1.0;-1.12484;3.66587;2.37;1.2;-28.82321;4.44261;0.1125;2.5;-104.93249;9.58294;0.0675;1.97999;2.69229;2.0e-5;1.0e-5;4.31034;5.01483;2.14496;4.5;-0.21121;-3.18634;-0.1513;-0.09055;0.0;0.0;0.0;0.0;0.21121;3.18634;0.1513;0.09055;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.6394;4.67237;0.00363;15.97012;10.33822;4.06541;4.12891;2.14389;0.0;-0.00591;-8.69482;-0.01503;-0.00585
269.0;0.08481;1.122;0.2;0.2;0.15;4.11;0.3;0.09;4.65;2.0;-49.99681;7.62464;0.1125;1.0;-0.86484;3.66587;3.0825;1.2;-14.4116;4.44261;0.225;2.5;-104.93249;9.58294;0.0675;1.88999;3.91633;3.0e-5;1.0e-5;4.31034;5.01483;2.14496;4.5;-0.15081;-4.14073;-0.30238;-0.09052;0.0;0.0;0.0;0.0;0.15081;4.14073;0.30238;0.09052;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.68443;5.80643;0.00363;15.97012;10.33822;4.06541;4.12891;2.14389;0.0;-0.00591;-8.69482;-0.01503;-0.00585
270.0;0.0873;1.25546;0.2;0.2;0.15;4.58;0.57;0.15;5.45;2.0;-49.99681;7.62464;0.1125;1.0;-0.77609;3.66587;3.435;1.2;-7.58506;4.44261;0.4275;2.5;-62.95949;9.58294;0.1125;1.75499;4.98805;3.0e-5;1.0e-5;4.31034;5.01483;2.14496;4.5;-0.15076;-4.61102;-0.5742;-0.15082;0.0;0.0;0.0;0.0;0.15076;4.61102;0.5742;0.15082;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.48679;6.74225;0.00363;15.97012;10.33822;4.06541;4.12891;2.14389;0.0;-0.00591;-8.69482;-0.01503;-0.00585
271.0;0.10313;1.35971;0.2;0.2;0.27;5.12;1.41;0.42;7.22;2.0;-27.776;7.62464;0.2025;1.0;-0.69424;3.66587;3.84;1.2;-3.0663;4.44261;1.0575;2.5;-22.48553;9.58294;0.315;1.61999;5.01462;1.96381;1.0e-5;4.31034;5.01483;2.14496;4.5;-0.27079;-5.13188;-1.41522;-0.4216;0.0;0.0;0.0;0.0;0.27079;5.13188;1.41522;0.4216;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.23949;8.5992;0.00363;15.97012;10.33822;4.06541;4.12891;2.14389;0.0;-0.00591;-8.69482;-0.01503;-0.00585
272.0;0.10621;1.35401;0.2;0.2;0.6;4.71;2.46;0.87;8.64;2.0;-12.4992;7.62464;0.45;1.0;-0.75467;3.66587;3.5325;1.2;-1.75751;4.44261;1.845;2.5;-10.85509;9.58294;0.6525;1.48499;5.01466;3.51225;1.0e-5;4.31034;5.01483;2.14496;4.5;-0.60151;-4.71685;-2.46735;-0.87302;0.0;0.0;0.0;0.0;0.60151;4.71685;2.46735;0.87302;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.65873;10.01274;0.00363;15.97012;10.33822;4.06541;4.12891;2.14389;0.0;-0.00591;-8.69482;-0.01503;-0.00585
