Timestep;Price;HV_LOAD;beta_co;beta_gc;Input_D_LV_MED;Input_D_MV_LOAD;Input_D_LV_HIGH;Input_D_LV_LOW;Total_Input_Demand;lambda_EOM_cap_LV_MED;E_EOM_LV_MED;lambda_EOM_0_LV_MED;D_EOM_cap_LV_MED;lambda_EOM_cap_MV_LOAD;E_EOM_MV_LOAD;lambda_EOM_0_MV_LOAD;D_EOM_cap_MV_LOAD;lambda_EOM_cap_LV_HIGH;E_EOM_LV_HIGH;lambda_EOM_0_LV_HIGH;D_EOM_cap_LV_HIGH;lambda_EOM_cap_LV_LOW;E_EOM_LV_LOW;lambda_EOM_0_LV_LOW;D_EOM_cap_LV_LOW;G_WindOnshore;G_Baseload;G_MidMerit;G_Peak;C_MidMerit;C_Baseload;C_Peak;C_WindOnshore;G_LV_MED;G_MV_LOAD;G_LV_HIGH;G_LV_LOW;ENS_LV_MED;ENS_MV_LOAD;ENS_LV_HIGH;ENS_LV_LOW;D_LV_MED;D_MV_LOAD;D_LV_HIGH;D_LV_LOW;D_elastic_LV_MED;D_elastic_MV_LOAD;D_elastic_LV_HIGH;D_elastic_LV_LOW;ENS_involuntary_LV_MED;ENS_involuntary_MV_LOAD;ENS_involuntary_LV_HIGH;ENS_involuntary_LV_LOW;PV_LV_MED;PV_MV_LOAD;PV_LV_HIGH;PV_LV_LOW;PV_Total;Total_ENS;Consumer_Demand;Total_Demand;λ_cCM;C_system_total;C_cCM_vol;C_cCM_MidMerit;C_cCM_Baseload;C_cCM_Peak;C_cCM_WindOnshore
1.0;0.09961;1.40287;0.7;0.7;1.32;3.66;0.165;0.12;5.265;2.0;-5.68146;7.62464;0.99;1.0;-0.97117;3.66587;2.745;1.2;-26.20292;4.44261;0.12375;2.5;-78.69937;9.58294;0.09;0.315;5.99367;0.37712;0.0;3.50979;5.99378;2.45932;4.5;-1.32449;-3.67211;-0.16574;-0.1205;0.0;0.0;0.0;0.0;1.32449;3.67211;0.16574;0.1205;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.28285;6.68572;0.00276;16.46289;11.96287;3.50978;5.99377;2.45932;0.0
2.0;0.0872;1.40281;0.7;0.7;0.285;3.155;0.165;0.075;3.68;2.0;-26.31411;7.62464;0.21375;1.0;-1.12662;3.66587;2.36625;1.2;-26.20292;4.44261;0.12375;2.5;-125.91899;9.58294;0.05625;0.225;4.88216;0.00014;0.0;3.50979;5.99378;2.45932;4.5;-0.28644;-3.17646;-0.16622;-0.07541;0.0;0.0;0.0;0.0;0.28644;3.17646;0.16622;0.07541;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.70453;5.10734;0.00276;16.46289;11.96287;3.50978;5.99377;2.45932;0.0
3.0;0.08725;1.37684;0.7;0.7;0.255;3.155;0.165;0.105;3.68;2.0;-29.40989;7.62464;0.19125;1.0;-1.12662;3.66587;2.36625;1.2;-26.20292;4.44261;0.12375;2.5;-89.94214;9.58294;0.07875;0.18;4.90116;0.00014;0.0;3.50979;5.99378;2.45932;4.5;-0.25629;-3.17642;-0.16622;-0.10558;0.0;0.0;0.0;0.0;0.25629;3.17642;0.16622;0.10558;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.7045;5.08134;0.00276;16.46289;11.96287;3.50978;5.99377;2.45932;0.0
4.0;0.08724;1.35769;0.7;0.7;0.225;3.155;0.165;0.105;3.65;2.0;-33.3312;7.62464;0.16875;1.0;-1.12662;3.66587;2.36625;1.2;-26.20292;4.44261;0.12375;2.5;-89.94214;9.58294;0.07875;0.135;4.89686;0.00014;0.0;3.50979;5.99378;2.45932;4.5;-0.22614;-3.17643;-0.16622;-0.10558;0.0;0.0;0.0;0.0;0.22614;3.17643;0.16622;0.10558;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.67435;5.03204;0.00276;16.46289;11.96287;3.50978;5.99377;2.45932;0.0
5.0;0.08962;1.2612;0.7;0.7;0.165;4.055;0.33;0.105;4.655;2.0;-45.45164;7.62464;0.12375;1.0;-0.87657;3.66587;3.04125;1.2;-13.10146;4.44261;0.2475;2.5;-89.94214;9.58294;0.07875;0.09;5.85432;0.00017;0.0;3.50979;5.99378;2.45932;4.5;-0.16578;-4.07982;-0.33225;-0.10555;0.0;0.0;0.0;0.0;0.16578;4.07982;0.33225;0.10555;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.6834;5.9446;0.00276;16.46289;11.96287;3.50978;5.99377;2.45932;0.0
6.0;0.1005;1.42198;0.7;0.7;0.165;4.55;0.63;0.165;5.51;2.0;-45.45164;7.62464;0.12375;1.0;-0.78121;3.66587;3.4125;1.2;-6.86267;4.44261;0.4725;2.5;-57.2359;9.58294;0.12375;0.135;5.99369;0.82122;0.0;3.50979;5.99378;2.45932;4.5;-0.16554;-4.56392;-0.63271;-0.16567;0.0;0.0;0.0;0.0;0.16554;4.56392;0.63271;0.16567;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.52785;6.94983;0.00276;16.46289;11.96287;3.50978;5.99377;2.45932;0.0
7.0;0.10433;1.59712;0.7;0.7;0.33;4.955;1.53;0.435;7.25;2.0;-22.72582;7.62464;0.2475;1.0;-0.71735;3.66587;3.71625;1.2;-2.8258;4.44261;1.1475;2.5;-21.71017;9.58294;0.32625;0.135;5.99372;2.73601;0.0;3.50979;5.99378;2.45932;4.5;-0.33091;-4.96482;-1.53524;-0.4366;0.0;0.0;0.0;0.0;0.33091;4.96482;1.53524;0.4366;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.26757;8.8647;0.00276;16.46289;11.96287;3.50978;5.99377;2.45932;0.0
8.0;0.15169;1.34493;0.7;0.7;0.66;4.95;2.43;0.99;9.03;2.0;-11.36291;7.62464;0.495;1.0;-0.71808;3.66587;3.7125;1.2;-1.77921;4.44261;1.8225;2.5;-9.53932;9.58294;0.7425;0.0585;5.99376;3.50973;0.73473;3.50979;5.99378;2.45932;4.5;-0.65766;-4.89386;-2.4117;-0.98867;0.0;0.0;0.0;0.0;0.65766;4.89386;2.4117;0.98867;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.95189;10.29682;0.00276;16.46289;11.96287;3.50978;5.99377;2.45932;0.0
9.0;0.15283;1.34381;0.7;0.7;0.9;5.25;3.0;0.576;9.726;2.0;-8.3328;7.62464;0.675;1.0;-0.67705;3.66587;3.9375;1.2;-1.44116;4.44261;2.25;2.5;-16.3957;9.58294;0.432;0.135;5.99376;3.50973;1.30792;3.50979;5.99378;2.45932;4.5;-0.88167;-5.17377;-2.97661;-0.57066;0.0;0.0;0.0;0.0;0.89667;5.18877;2.97661;0.57516;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.015;0.015;0.0;0.0045;0.0345;0.0;9.63721;10.98103;0.00276;16.46289;11.96287;3.50978;5.99377;2.45932;0.0
10.0;0.15327;1.22693;0.7;0.7;1.26;5.15;3.3;0.36;10.07;2.0;-5.952;7.62464;0.945;1.0;-0.69019;3.66587;3.8625;1.2;-1.31015;4.44261;2.475;2.5;-26.23312;9.58294;0.27;0.108;5.99376;3.50973;1.52431;3.50979;5.99378;2.45932;4.5;-1.22527;-5.05931;-3.27394;-0.35046;0.0;0.0;0.0;0.0;1.25527;5.08931;3.27394;0.35946;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.03;0.03;0.0;0.009;0.069;0.0;9.97798;11.20492;0.00276;16.46289;11.96287;3.50978;5.99377;2.45932;0.0
11.0;0.15368;1.47439;0.7;0.7;1.5;4.75;3.66;0.198;10.108;2.0;-4.99968;7.62464;1.125;1.0;-0.74831;3.66587;3.5625;1.2;-1.18128;4.44261;2.745;2.5;-47.69659;9.58294;0.1485;0.153;5.99376;3.50973;1.73049;3.50979;5.99378;2.45932;4.5;-1.44929;-4.64847;-3.63075;-0.18419;0.0;0.0;0.0;0.0;1.49429;4.69347;3.63075;0.19769;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.045;0.045;0.0;0.0135;0.1035;0.0;10.01621;11.4906;0.00276;16.46289;11.96287;3.50978;5.99377;2.45932;0.0
12.0;0.15436;1.61717;0.7;0.7;1.26;4.95;3.99;0.231;10.431;2.0;-5.952;7.62464;0.945;1.0;-0.71808;3.66587;3.7125;1.2;-1.08358;4.44261;2.9925;2.5;-40.88279;9.58294;0.17325;0.135;5.99376;3.50973;2.0704;3.50979;5.99378;2.45932;4.5;-1.15009;-4.78515;-3.95749;-0.19912;0.0;0.0;0.0;0.0;1.25509;4.89015;3.95749;0.23062;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.105;0.105;0.0;0.0315;0.2415;0.0;10.33335;11.95052;0.00276;16.46289;11.96287;3.50978;5.99377;2.45932;0.0
13.0;0.15501;1.33986;0.7;0.7;1.5;5.35;3.99;0.264;11.104;2.0;-4.99968;7.62464;1.125;1.0;-0.66439;3.66587;4.0125;1.2;-1.08358;4.44261;2.9925;2.5;-35.77244;9.58294;0.198;0.09;5.99376;3.50973;2.40001;3.50979;5.99378;2.45932;4.5;-1.34402;-5.13432;-3.95688;-0.21855;0.0;0.0;0.0;0.0;1.49402;5.28432;3.95688;0.26355;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.15;0.15;0.0;0.045;0.345;0.0;10.99878;12.33864;0.00276;16.46289;11.96287;3.50978;5.99377;2.45932;0.0
