scen_number;sensitivity;n_iter;walltime;converged;PrimalResidual_EOM;DualResidual_EOM;PrimalResidual_cCM;DualResidual_cCM;PrimalResidual_dCM;DualResidual_dCM;λ_cCM;λ_dCM;C_system_total;C_cCM_vol;C_dCM_vol;beta_co;beta_gc
1;ref;3500;4.654956576666667;false;0.046961540844170195;8.425275589967777e-6;0.0;0.0;0.0;0.0;0.0;0.0004;17.73764868527678;0.0;0.0;1;1
1;ref;3500;4.654956576666667;false;0.046961540844170195;8.425275589967777e-6;0.0;0.0;0.0;0.0;0.0;0.0004;17.73764868527678;0.0;0.0;1;1
3;beta_1.0;597;5.6076688;true;0.019923752231941465;0.000171788796257304;0.0;0.0;0.0;0.0;0.0;0.0004;16.46292516594481;0.0;0.0;1.0;1.0
3;beta_1.0;597;5.6076688;true;0.019923752231941465;0.000171788796257304;0.0;0.0;0.0;0.0;0.0;0.0004;16.46292516594481;0.0;0.0;1.0;1.0
3;beta_0.9;637;7.072125381666667;true;0.019828703371689474;0.0001559565668154991;0.0;0.0;0.0;0.0;0.0;0.0004;15.973634570374315;0.0;0.0;0.9;0.9
3;beta_0.9;637;7.072125381666667;true;0.019828703371689474;0.0001559565668154991;0.0;0.0;0.0;0.0;0.0;0.0004;15.973634570374315;0.0;0.0;0.9;0.9
3;beta_0.8;711;7.718996668333333;true;0.01961542741283933;0.00013103632844836514;0.0;0.0;0.0;0.0;0.0;0.0004;15.972011216685445;0.0;0.0;0.8;0.8
3;beta_0.8;711;7.718996668333333;true;0.01961542741283933;0.00013103632844836514;0.0;0.0;0.0;0.0;0.0;0.0004;15.972011216685445;0.0;0.0;0.8;0.8
3;beta_0.7;801;7.599889366666668;true;0.019977191804717492;0.0001068087648287066;0.0;0.0;0.0;0.0;0.0;0.0004;15.971262876324877;0.0;0.0;0.7;0.7
3;beta_0.7;801;7.599889366666668;true;0.019977191804717492;0.0001068087648287066;0.0;0.0;0.0;0.0;0.0;0.0004;15.971262876324877;0.0;0.0;0.7;0.7
3;beta_0.6;854;7.312029488333334;true;0.01996384886338587;8.80349499589528e-5;0.0;0.0;0.0;0.0;0.0;0.0004;15.971387400991377;0.0;0.0;0.6;0.6
3;beta_0.6;854;7.312029488333334;true;0.01996384886338587;8.80349499589528e-5;0.0;0.0;0.0;0.0;0.0;0.0004;15.971387400991377;0.0;0.0;0.6;0.6
3;beta_0.5;1051;8.977006366666668;true;0.019971296133053644;5.29904696593052e-5;0.0;0.0;0.0;0.0;0.0;0.0004;15.971329750931334;0.0;0.0;0.5;0.5
3;beta_0.5;1051;8.977006366666668;true;0.019971296133053644;5.29904696593052e-5;0.0;0.0;0.0;0.0;0.0;0.0004;15.971329750931334;0.0;0.0;0.5;0.5
3;beta_0.4;882;7.579177005000001;true;0.019283072583563543;6.952589336354805e-5;0.0;0.0;0.0;0.0;0.0;0.0004;15.971364314245736;0.0;0.0;0.4;0.4
3;beta_0.4;882;7.579177005000001;true;0.019283072583563543;6.952589336354805e-5;0.0;0.0;0.0;0.0;0.0;0.0004;15.971364314245736;0.0;0.0;0.4;0.4
3;beta_0.3;711;6.199557886666667;true;0.019950453970854688;7.038583950511905e-5;0.0;0.0;0.0;0.0;0.0;0.0004;15.971849812094565;0.0;0.0;0.3;0.3
3;beta_0.3;711;6.199557886666667;true;0.019950453970854688;7.038583950511905e-5;0.0;0.0;0.0;0.0;0.0;0.0004;15.971849812094565;0.0;0.0;0.3;0.3
3;beta_0.2;787;8.296534643333334;true;0.019113152032058198;2.481702684279017e-5;0.0;0.0;0.0;0.0;0.0;0.0004;15.970615355375577;0.0;0.0;0.2;0.2
3;beta_0.2;787;8.296534643333334;true;0.019113152032058198;2.481702684279017e-5;0.0;0.0;0.0;0.0;0.0;0.0004;15.970615355375577;0.0;0.0;0.2;0.2
3;beta_0.1;898;10.062044598333333;true;0.019882267291051522;3.788197216463817e-5;0.0;0.0;0.0;0.0;0.0;0.0004;15.971304711798812;0.0;0.0;0.1;0.1
3;beta_0.1;898;10.062044598333333;true;0.019882267291051522;3.788197216463817e-5;0.0;0.0;0.0;0.0;0.0;0.0004;15.971304711798812;0.0;0.0;0.1;0.1
5;beta_1.0;631;6.5673525900000005;true;0.019673026759043036;0.0001599909816517065;3.4342601987091825e-5;0.00010628746131463177;0.0;0.0;7.958465226453755e-5;0.0004;16.476421489794944;11.962944342601988;0.0;1.0;1.0
5;beta_1.0;631;6.5673525900000005;true;0.019673026759043036;0.0001599909816517065;3.4342601987091825e-5;0.00010628746131463177;0.0;0.0;7.958465226453755e-5;0.0004;16.476421489794944;11.962944342601988;0.0;1.0;1.0
5;beta_0.9;658;8.086819981666668;true;0.019853358227443517;0.00014812362918581681;0.00019615904141900842;0.00010247157719206682;0.0;0.0;0.0027630037356359983;0.0004;16.46271838692106;11.962713840958582;0.0;0.9;0.9
5;beta_0.9;658;8.086819981666668;true;0.019853358227443517;0.00014812362918581681;0.00019615904141900842;0.00010247157719206682;0.0;0.0;0.0027630037356359983;0.0004;16.46271838692106;11.962713840958582;0.0;0.9;0.9
5;beta_0.8;736;8.23158687;true;0.01993429822336479;0.0001250721092980835;9.939845595496877e-5;9.013445593614691e-5;0.0;0.0;0.0027708645894295694;0.0004;16.462821295093633;11.962810601544046;0.0;0.8;0.8
5;beta_0.8;736;8.23158687;true;0.01993429822336479;0.0001250721092980835;9.939845595496877e-5;9.013445593614691e-5;0.0;0.0;0.0027708645894295694;0.0004;16.462821295093633;11.962810601544046;0.0;0.8;0.8
5;beta_0.7;822;8.906935415;true;0.019539928821703495;0.00010231892171589109;3.792437009764171e-5;6.954060853848908e-5;0.0;0.0;0.0027628020061168704;0.0004;16.462886889468916;11.962872075629903;0.0;0.7;0.7
5;beta_0.7;822;8.906935415;true;0.019539928821703495;0.00010231892171589109;3.792437009764171e-5;6.954060853848908e-5;0.0;0.0;0.0027628020061168704;0.0004;16.462886889468916;11.962872075629903;0.0;0.7;0.7
5;beta_0.6;875;9.40014095;true;0.019579030723930975;8.492462544519129e-5;5.268490365750722e-6;5.944797434149976e-5;0.0;0.0;0.0027628779431353324;0.0004;16.462914076480107;11.962904731509635;0.0;0.6;0.6
5;beta_0.6;875;9.40014095;true;0.019579030723930975;8.492462544519129e-5;5.268490365750722e-6;5.944797434149976e-5;0.0;0.0;0.0027628779431353324;0.0004;16.462914076480107;11.962904731509635;0.0;0.6;0.6
5;beta_0.5;1080;11.58225973;true;0.019550455208613374;5.128701584198151e-5;7.646070979205888e-5;3.639940146938044e-5;0.0;0.0;0.0027642354999092727;0.0004;16.463012592937297;11.962986460709793;0.0;0.5;0.5
5;beta_0.5;1080;11.58225973;true;0.019550455208613374;5.128701584198151e-5;7.646070979205888e-5;3.639940146938044e-5;0.0;0.0;0.0027642354999092727;0.0004;16.463012592937297;11.962986460709793;0.0;0.5;0.5
5;beta_0.4;903;9.711961226666666;true;0.019351707224207204;6.70496843200484e-5;2.938213249592536e-6;4.514283418266192e-5;0.0;0.0;0.002762064969149946;0.0004;16.462916456948385;11.962907061786751;0.0;0.4;0.4
5;beta_0.4;903;9.711961226666666;true;0.019351707224207204;6.70496843200484e-5;2.938213249592536e-6;4.514283418266192e-5;0.0;0.0;0.002762064969149946;0.0004;16.462916456948385;11.962907061786751;0.0;0.4;0.4
5;beta_0.3;763;8.345754511666668;true;0.01998223567520547;6.491320490829802e-5;5.5091220026781684e-5;4.1854869250785896e-5;0.0;0.0;0.0027501149955846175;0.0004;16.462983633977792;11.962965091220028;0.0;0.3;0.3
5;beta_0.3;763;8.345754511666668;true;0.01998223567520547;6.491320490829802e-5;5.5091220026781684e-5;4.1854869250785896e-5;0.0;0.0;0.0027501149955846175;0.0004;16.462983633977792;11.962965091220028;0.0;0.3;0.3
5;beta_0.2;798;8.675812135000001;true;0.019443981472622565;2.089873043058789e-5;7.475560087399913e-5;1.586420697994512e-5;0.0;0.0;0.0027655334662977362;0.0004;16.462842057059277;11.962835244399127;0.0;0.2;0.2
5;beta_0.2;798;8.675812135000001;true;0.019443981472622565;2.089873043058789e-5;7.475560087399913e-5;1.586420697994512e-5;0.0;0.0;0.0027655334662977362;0.0004;16.462842057059277;11.962835244399127;0.0;0.2;0.2
5;beta_0.1;923;10.458368803333334;true;0.019807329209335766;3.439992801213955e-5;8.158329406526832e-5;2.0586157281940295e-5;0.0;0.0;0.0027553229757034136;0.0004;16.463008085897624;11.962991583294066;0.0;0.1;0.1
5;beta_0.1;923;10.458368803333334;true;0.019807329209335766;3.439992801213955e-5;8.158329406526832e-5;2.0586157281940295e-5;0.0;0.0;0.0027553229757034136;0.0004;16.463008085897624;11.962991583294066;0.0;0.1;0.1
7;beta_1.0;598;7.038745533333334;true;0.019479648549463737;0.0001713352486126751;0.0;0.0;6.860192135227372e-5;5.787340568240025e-8;0.0;0.004147458473566167;16.46300654494005;0.0;2.47245287520906;1.0;1.0
7;beta_1.0;598;7.038745533333334;true;0.019479648549463737;0.0001713352486126751;0.0;0.0;6.860192135227372e-5;5.787340568240025e-8;0.0;0.004147458473566167;16.46300654494005;0.0;2.47245287520906;1.0;1.0
7;beta_0.9;644;8.809956515000001;true;0.01945841580362679;0.0001536315020886634;0.0;0.0;8.981478711178603e-5;6.417291403141829e-6;0.0;0.00482017260536542;16.38658399005097;0.0;11.886581066325078;0.9;0.9
7;beta_0.9;644;8.809956515000001;true;0.01945841580362679;0.0001536315020886634;0.0;0.0;8.981478711178603e-5;6.417291403141829e-6;0.0;0.00482017260536542;16.38658399005097;0.0;11.886581066325078;0.9;0.9
7;beta_0.8;719;8.803050163333333;true;0.01990346194325952;0.000129768015740334;0.0;0.0;3.494909591794659e-5;5.346531797658592e-6;0.0;0.0047786222382928826;16.337146155946726;0.0;11.837129599541665;0.8;0.8
7;beta_0.8;719;8.803050163333333;true;0.01990346194325952;0.000129768015740334;0.0;0.0;3.494909591794659e-5;5.346531797658592e-6;0.0;0.0047786222382928826;16.337146155946726;0.0;11.837129599541665;0.8;0.8
7;beta_0.7;804;9.726848563333334;true;0.01967271517787103;0.00010599822825608729;0.0;0.0;0.00011538155481560786;4.602183146767127e-6;0.0;0.004212710315172828;16.12895474643048;0.0;11.628924767455173;0.7;0.7
7;beta_0.7;804;9.726848563333334;true;0.01967271517787103;0.00010599822825608729;0.0;0.0;0.00011538155481560786;4.602183146767127e-6;0.0;0.004212710315172828;16.12895474643048;0.0;11.628924767455173;0.7;0.7
7;beta_0.6;926;10.898218235;true;0.019636423024271498;7.832743826942814e-5;0.0;0.0;6.94107719529935e-5;3.386501260214249e-6;0.0;0.004287471284611983;16.147452522692234;0.0;11.647383107983018;0.6;0.6
7;beta_0.6;926;10.898218235;true;0.019636423024271498;7.832743826942814e-5;0.0;0.0;6.94107719529935e-5;3.386501260214249e-6;0.0;0.004287471284611983;16.147452522692234;0.0;11.647383107983018;0.6;0.6
7;beta_0.5;1057;12.01328387;true;0.019617883813440217;5.366735130774121e-5;0.0;0.0;7.9418694530764e-5;2.5625221695731074e-6;0.0;0.003822829849443456;16.018296815743618;0.0;11.518244468535887;0.5;0.5
7;beta_0.5;1057;12.01328387;true;0.019617883813440217;5.366735130774121e-5;0.0;0.0;7.9418694530764e-5;2.5625221695731074e-6;0.0;0.003822829849443456;16.018296815743618;0.0;11.518244468535887;0.5;0.5
7;beta_0.4;888;10.11052776;true;0.019930515984179387;6.779260699955227e-5;0.0;0.0;2.993948254315093e-5;2.881594021702667e-6;0.0;0.003777380451936894;16.00778554686783;0.0;11.507729685261069;0.4;0.4
7;beta_0.4;888;10.11052776;true;0.019930515984179387;6.779260699955227e-5;0.0;0.0;2.993948254315093e-5;2.881594021702667e-6;0.0;0.003777380451936894;16.00778554686783;0.0;11.507729685261069;0.4;0.4
7;beta_0.3;716;8.203057306666668;true;0.01981339398431895;7.17562729092819e-5;0.0;0.0;0.00012730880918199183;3.1143880388750047e-6;0.0;0.003756289108922731;16.00450309649522;0.0;11.50439442717455;0.3;0.3
7;beta_0.3;716;8.203057306666668;true;0.01981339398431895;7.17562729092819e-5;0.0;0.0;0.00012730880918199183;3.1143880388750047e-6;0.0;0.003756289108922731;16.00450309649522;0.0;11.50439442717455;0.3;0.3
7;beta_0.2;787;9.122404833333333;true;0.01929518425617684;2.1836320670219e-5;0.0;0.0;0.0005588505719680281;1.2535509056786232e-6;0.0;0.0036295472247947344;15.970123558276484;0.0;10.338215655339132;0.2;0.2
7;beta_0.2;787;9.122404833333333;true;0.01929518425617684;2.1836320670219e-5;0.0;0.0;0.0005588505719680281;1.2535509056786232e-6;0.0;0.0036295472247947344;15.970123558276484;0.0;10.338215655339132;0.2;0.2
7;beta_0.1;906;10.649292311666667;true;0.019737715503064756;3.69934209333162e-5;0.0;0.0;0.00035342591405540524;1.355718215644029e-6;0.0;0.0036277566027073465;15.971185760787758;0.0;7.947173945838317;0.1;0.1
7;beta_0.1;906;10.649292311666667;true;0.019737715503064756;3.69934209333162e-5;0.0;0.0;0.00035342591405540524;1.355718215644029e-6;0.0;0.0036277566027073465;15.971185760787758;0.0;7.947173945838317;0.1;0.1
