WIND_ONSHORE,WIND_OFFSHORE,PV
0.3,0.3943,0.41
0.31,0.3857,0.62
0.28,0.3727,0.74
0.27,0.3597,0.77
0.28,0.39,0.78
0.35,0.4333,0.7
0.37,0.481,0.57
0.39,0.4853,0.35
0.36,0.468,0.15
0.33,0.4463,0.03
0.34,0.4377,0.0
0.34,0.4377,0.0
0.33,0.429,0.0
0.32,0.4897,0.0
0.48,0.546,0.0
0.46,0.611,0.0
0.47,0.5937,0.0
0.44,0.5763,0.0
0.42,0.5417,0.0
0.39,0.507,0.0
0.36,0.468,0.0
0.33,0.4333,0.0
0.31,0.3943,0.0
0.27,0.351,0.02
0.23,0.299,0.18
0.19,0.247,0.4
0.15,0.2037,0.55
0.13,0.1777,0.63
0.13,0.169,0.67
0.13,0.1733,0.66
0.14,0.1777,0.57
0.14,0.1863,0.37
0.15,0.1907,0.1
0.15,0.195,0.0
0.15,0.1993,0.0
0.16,0.1993,0.0
0.15,0.2037,0.0
0.16,0.2015,0.0
